ts,UKXGBP,USDCAD,GRXEUR,EURUSD,BCOUSD,NZDUSD,XAGUSD,GBPUSD,USDCHF,XAUUSD,NSXUSD,EURJPY,USDJPY,AUDUSD,SPXUSD
2024-01-01,7744.813,1.32545,16785.399,1.10208,78.363,0.63032,23.915,1.27139,0.84527,2069.505,16819.719,155.994,141.537,0.68186,4774.364
2024-01-02,7694.599,1.33268,16713.849,1.09622,75.828,0.62677,23.675,1.26409,0.84921,2064.775,16518.409,155.559,141.904,0.67625,4740.397
2024-01-03,7688.399,1.33386,16515.079,1.09258,78.588,0.62642,22.952,1.26698,0.84913,2043.015,16381.899,156.865,143.565,0.6739,4707.749
2024-01-04,7688.801,1.33641,16549.089,1.09371,77.953,0.62278,23.106,1.26785,0.85071,2044.555,16280.789,158.423,144.847,0.6698,4692.569
2024-01-05,7670.977,1.3355,16583.799,1.09392,78.815,0.62412,23.182,1.27173,0.84945,2045.355,16307.219,158.248,144.603,0.67129,4698.073
2024-01-06,,,,,,,,,,,,,,,
2024-01-07,7673.417,1.33734,16581.199,1.0934,77.793,0.62335,23.008,1.27018,0.85184,2035.715,16288.909,157.958,144.462,0.66977,4693.632
2024-01-08,7712.086,1.33549,16748.069,1.09561,76.273,0.625,23.126,1.27475,0.8473,2032.795,16624.349,157.317,143.585,0.67169,4757.047
2024-01-09,7665.298,1.33817,16639.549,1.09321,77.878,0.62429,22.937,1.27022,0.85215,2029.725,16677.259,158.302,144.805,0.67022,4751.037
2024-01-10,7675.321,1.33642,16789.079,1.09777,77.123,0.62485,23.008,1.27644,0.84954,2031.995,16849.599,159.601,145.387,0.67193,4793.164
2024-01-11,7602.76,1.3379,16638.699,1.09755,78.733,0.6244,22.87,1.27718,0.85217,2034.578,16806.279,159.147,145.0,0.67031,4773.227
2024-01-12,7626.889,1.34054,16678.749,1.09483,78.327,0.62385,23.175,1.27473,0.85171,2043.815,16821.579,158.716,144.904,0.66856,4782.47
2024-01-13,,,,,,,,,,,,,,,
2024-01-14,7639.431,1.33909,16780.599,1.09628,78.453,0.62305,23.241,1.27545,0.85268,2054.235,16853.069,159.144,145.167,0.66926,4784.467
2024-01-15,7569.242,1.34687,16543.599,1.09175,78.248,0.61644,23.129,1.268,0.85815,2049.325,16757.097,159.517,146.111,0.66142,4766.461
2024-01-16,7505.316,1.34962,16481.077,1.08709,77.718,0.61322,22.848,1.26234,0.86191,2025.355,16785.298,160.184,147.349,0.65705,4757.044
2024-01-17,7431.292,1.34937,16411.099,1.08941,78.113,0.61201,22.588,1.26822,0.86453,2008.035,16723.299,161.151,147.929,0.65568,4735.132
2024-01-18,7475.898,1.34881,16606.599,1.08864,78.988,0.60982,22.674,1.27066,0.86832,2020.995,17041.52,161.508,148.357,0.65772,4783.566
2024-01-19,7484.213,1.34265,16627.755,1.0896,78.672,0.61105,22.598,1.2702,0.86764,2029.375,17328.064,161.443,148.04,0.65935,4840.567
2024-01-20,,,,,,,,,,,,,,,
2024-01-21,7491.097,1.34363,16690.055,1.09028,78.208,0.61148,22.502,1.27167,0.86807,2025.405,17424.521,161.187,147.839,0.65937,4851.467
2024-01-22,7494.19,1.34641,16681.055,1.08983,79.883,0.60999,22.282,1.27277,0.86662,2027.508,17344.709,161.235,147.944,0.66,4851.134
