kind,year,sha256,bytes
tff,2010,5392a28735d28dcb8feb5e60282c7c686759df9954699b5bcdadcd90db6d7fad,148054
tff,2011,583a93474847f1070b213e2b12cfa73c48d9ba05f24f7d001a338de125468b57,336562
tff,2012,c5b65a8c3e0f597fae6b41eaba9246e2a995b14de3aa8fd12aabee8d05032a58,342397
tff,2013,682e643683c1ca36f723980544f4ff3bef7e0c3d299bc85c0904ef17b97f2780,345146
tff,2014,83893048e9a73e8b6e81d9ef7a737f9f86db6bdc28f17d393b8df2e87ab713d6,342379
tff,2015,a506b8ceb510fb49b8b21a1687fff35903698b8968d079b9e5f12ce92f96b68e,355771
tff,2016,e8570bcd83df5c3e25aca61a59985001db83a8299a25943525c8d109ffc94a15,365403
tff,2017,e6e2dd537efcc57cdd6cdcc4e45e567fd47e65d8afc8369d8383bf09195ae7f5,395830
tff,2018,6843d130a25a17c6248df67463810f02077ef4eeafdd629299d21c18f5125e40,458570
tff,2019,631b31880d513072aa50d63117c896184dd35db3cc8fcdd6debd80197ee7a661,454803
tff,2020,c90d98d94db708772d669f263fb8061c75f8a7f681ba231fb21247e5c9798e6b,430721
tff,2021,5c929991038c70ae2501661b6d442b9e784d3c29d3166ceac2e21b45ac93d56a,466549
tff,2022,94c9c1fdee9dfbe377a09923ddfe26b88d3460605dd076081f221ad367d88601,494559
tff,2023,43c3dbdd4d01fceefad5e457003751cdc0974c7cf46097b322e26e9e2fe44d7a,506931
tff,2024,3f00585741a7cf76c207df640951d644dd91ff22a1106b38ca37a2469c765637,563591
disagg,2010,fef4827fbaa1a2a72ad3fe7ef0ca659ee4c85bc6857fdc096f4320b8a096322b,1004704
disagg,2011,9e47499610532150edddc1f43f8fc37cd87718d70022a6db9284f0152f815cf3,1017591
disagg,2012,79db37521556a5aa8acc84bd3ca86aa6bf80fb4c5d4a8013dfb215fc760f1e95,1087758
disagg,2013,c9bc647013b9b2f1c18e96fdaed95dc94af57c3a949e9fe7dd94aee06f3837bc,1393844
disagg,2014,a29872d680f595078062130274374ecb38dc2a24d86f1531a59f52b8abca7eea,1649560
disagg,2015,36aacb4389831a89996ba5366c91eedeaa32a55abca8265325bc52d74b06ca34,1697554
disagg,2016,50f52674fd924d24c794b921c29342be7d35cbe0a241ac823925ccf43ca1a6d2,1834436
disagg,2017,6fc467b989df527a4fbea4ba07185e8951f35cb72563f156488904a37c100e43,1805242
disagg,2018,df4bf7d72e8984d6ea04087f793c9f2bf3503ea8c2149f4b01eedeef4fbe40a8,1961740
disagg,2019,942a438bcc6f66e65aaf594a1a1fdb8c1505fe4a0feece77a1fd97270317e753,1981332
disagg,2020,0aa03c0fd6360f56b6897b6eaff30e8dba774c826bf93cac61598312e19bd1cd,1930322
disagg,2021,12d5d49a8963367fd3439050e3e20e6a5338757dfa083432795c5556827ff8ae,1943806
disagg,2022,74205d75d4d7b75a9f4159ef2e6abed53eeb4771a74e5a4bf78bc0451410ab7f,2049193
disagg,2023,9fe75dba0256819d476bb0d01f9e8e5ac6ec2c4390f609a7e3259e85796b79ce,2202972
disagg,2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2381296
