asset,requested_files,existing_files,valid_files,status,files,sha256,errors
EURUSD,2,2,2,available,DAT_ASCII_EURUSD_M1_2024.csv|DAT_ASCII_EURUSD_M1_2025.csv,0f2412690abe983064f665f3273bd24553e2f4f7bfe96a606b30f65fd74b231d|d476f9b73a5210e5dd0a7a2f1b2e6da28fbc6ee9b124b05a04c892bd8731d984,
GBPUSD,2,2,2,available,DAT_ASCII_GBPUSD_M1_2024.csv|DAT_ASCII_GBPUSD_M1_2025.csv,d0c4af20b2c7ec46e18acbc637fb3c74ea9718c7c78cf394ebe374cb177429b3|fc0b481c88159a4406b7c380e948fbd172a1d3efcf163d527c1e7e288e9ff575,
AUDUSD,2,2,2,available,DAT_ASCII_AUDUSD_M1_2024.csv|DAT_ASCII_AUDUSD_M1_2025.csv,f2b5fe69de2e48691d5e2e6b3f38329dcee57dc34c81a5d64a3e4dad4a8cb62d|46ade9508f256c90a78aaab48fed37305022f3f75b90fdd5a0483337aff71a85,
NZDUSD,2,0,0,blocked,,,
USDJPY,2,2,2,available,DAT_ASCII_USDJPY_M1_2024.csv|DAT_ASCII_USDJPY_M1_2025.csv,a5f671ee6d4cf607c929e0189252b5732a5730080e056fe57f83d490bfe9efee|2be5ead3405ef7d5ff46c2ac8d1c2bb3f93cf26681ad6148777d7acf44681b74,
USDCHF,2,0,0,blocked,,,
USDCAD,2,0,0,blocked,,,
EURJPY,2,0,0,blocked,,,
XAUUSD,1,1,1,available,DAT_ASCII_XAUUSD_M1_2024.csv,03dec44d8965c88eeba54e8ef5d13e31f28deca6f01fa727f9db55641bee5480,
XAGUSD,1,0,0,blocked,,,
SPXUSD,1,1,1,available,DAT_ASCII_SPXUSD_M1_2024.csv,8f5414848aadd4e503db73400f319352ae82dbd3f00928fa9277b7c0d8027a4b,
NAS100USD,1,0,0,blocked,,,
GER40,1,0,0,blocked,,,
UK100,1,0,0,blocked,,,
WTIUSD,1,0,0,blocked,,,
BRENTUSD,1,0,0,blocked,,,
