model,excluded_asset,observations,start,end,total_return,sharpe,max_drawdown,annualized_mean
carry_2025,EURUSD,258,2025-01-01,2025-12-29,-0.02267382825463482,-0.28565348584214517,-0.06987219208784834,
carry_2025,USDJPY,258,2025-01-01,2025-12-29,-0.017356076403715393,-0.6980084374739978,-0.026753522905708427,
carry_2025,GBPUSD,258,2025-01-01,2025-12-29,-0.03757001562828133,-0.4718254737824523,-0.10200156493896406,
carry_2025,AUDUSD,258,2025-01-01,2025-12-29,-0.03757001562828133,-0.4718254737824523,-0.10200156493896406,
reer_value_2025,EURUSD,258,2025-01-01,2025-12-29,-0.02323407673570399,-0.5579558505211777,-0.04864718915955146,-0.022961539564279997
reer_value_2025,USDJPY,258,2025-01-01,2025-12-29,0.020377326601312085,0.7090728870866971,-0.016293034404977202,0.019703359327146702
reer_value_2025,GBPUSD,258,2025-01-01,2025-12-29,0.05559482257930504,0.7218465404763804,-0.05210930144770365,0.05284617856975049
reer_value_2025,AUDUSD,258,2025-01-01,2025-12-29,-0.012297382907146881,-0.3220425762728935,-0.05649039992709248,-0.012085862750679023
reer_value_2024,EURUSD,259,2024-01-01,2024-12-29,-0.07208043599290825,-1.5339086799533281,-0.0839180731262058,-0.07278832865099287
reer_value_2024,USDJPY,259,2024-01-01,2024-12-29,-0.03786666669636607,-1.7065041729852173,-0.04144022576153039,-0.03755893408813993
reer_value_2024,GBPUSD,259,2024-01-01,2024-12-29,-0.11436532117696929,-1.698965263304026,-0.11026606958517071,-0.11816828736499
reer_value_2024,AUDUSD,259,2024-01-01,2024-12-29,-0.0724036907906841,-1.9031933089711353,-0.07382504857391703,-0.07312733753724558
