lookback_h4,adjustment_speed,oos_start,oos_end,observations,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,positive_calendar_year_fraction
6,1.0,2019-05-28,2022-03-04,4281,-0.23773557219144248,-0.09142439563636862,-2.1477209541620867,-0.2618579446527729,499.18283818037906,0.0
6,0.5,2019-05-28,2022-03-04,4281,-0.14758963946936365,-0.05483871339119917,-1.4879417287708705,-0.18797145431135243,347.39235566073,0.0
6,0.25,2019-05-28,2022-03-04,4281,-0.08707139130457797,-0.03166252748343068,-1.0110624067457898,-0.1396389442927296,233.0482041162731,0.25
6,0.1,2019-05-28,2022-03-04,4281,-0.04817811064882482,-0.01728832534453406,-0.7538828415169617,-0.09163517048534997,117.8734605965093,0.25
12,1.0,2019-05-28,2022-03-04,4281,-0.12299291411176994,-0.045294662086261095,-1.0002296702119315,-0.19356603973130115,349.75359967917757,0.25
12,0.5,2019-05-28,2022-03-04,4281,-0.07851194174776577,-0.028465618934576553,-0.6899580040373469,-0.15486128948327615,243.5403671804521,0.25
12,0.25,2019-05-28,2022-03-04,4281,-0.055007516303134274,-0.019784474179486478,-0.5298830236810863,-0.129880435619241,172.04506843770127,0.25
12,0.1,2019-05-28,2022-03-04,4281,-0.06057341959887108,-0.02182745641687034,-0.7473095495258437,-0.10323512719906547,100.34661470492215,0.25
30,1.0,2019-05-28,2022-03-04,4281,-0.17270918817454228,-0.06477130636362427,-1.4166967345571233,-0.2148159481216939,236.85841548589008,0.0
30,0.5,2019-05-28,2022-03-04,4281,-0.15632560795614048,-0.05827128824050043,-1.3554546882198084,-0.18436421020162697,163.339849619622,0.0
30,0.25,2019-05-28,2022-03-04,4281,-0.1361009699234219,-0.05035899926560472,-1.2415369303489534,-0.16278312809916629,114.04749176411443,0.0
30,0.1,2019-05-28,2022-03-04,4281,-0.11384823122546717,-0.0417905110856146,-1.1923332399902669,-0.1398512959159206,71.91705547973605,0.0
