lookback_h4,adjustment_speed,delta_net_total_return,delta_net_sharpe,delta_max_drawdown,delta_annualized_turnover
6,1.0,-0.0050481665509730655,-0.04252247754492178,-0.00445650832580502,2.5295332646115867
6,0.5,-0.0017650513648458377,-0.016084578059165633,-0.0024644299723991514,0.8010415550355106
6,0.25,-0.000911823222807584,-0.010621904109904046,-0.002542931643928492,0.2223559855107169
6,0.1,-7.883144738951575e-05,-0.0022753795197715254,-0.001472849237878604,0.06187944120499367
12,1.0,-0.00403826664720941,-0.03513237273751857,-0.004249216308361503,-1.4594456034168957
12,0.5,-0.003330483588290578,-0.029324164344173842,-0.003357688978473994,-0.2562446115389321
12,0.25,-0.0003651111577778199,-0.003306707146871646,-0.0011930208113594132,-0.06483987176318351
12,0.1,0.001955818121419761,0.024937080710816573,0.0010774465796268284,-0.025585206907535962
30,1.0,-0.005459286901014382,-0.0629952624646215,0.007475225602133206,-2.5171202109396233
30,0.5,-0.0005547510430510272,-0.014193538028909547,-9.185498967057004e-05,-2.4211362712927667
30,0.25,0.0013407577793258518,0.009776891566520396,-0.002207038618901369,-1.1697229919979577
30,0.1,0.002690119433286786,0.029731294696553556,7.891593324604873e-05,-0.3032075212828289
