signal,lookback_h4,adjustment_speed,oos_start,oos_end,observations,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,positive_calendar_year_fraction
tsmom,6,1.0,2019-05-28,2022-03-04,4281,-0.23773557219144248,-0.09142439563636862,-2.1477209541620867,-0.2618579446527729,499.18283818037906,0.0
tsmom,6,0.5,2019-05-28,2022-03-04,4281,-0.14758963946936365,-0.05483871339119917,-1.4879417287708705,-0.18797145431135243,347.39235566073,0.0
tsmom,6,0.25,2019-05-28,2022-03-04,4281,-0.08707139130457797,-0.03166252748343068,-1.0110624067457898,-0.1396389442927296,233.0482041162731,0.25
tsmom,6,0.1,2019-05-28,2022-03-04,4281,-0.04817811064882482,-0.01728832534453406,-0.7538828415169617,-0.09163517048534997,117.8734605965093,0.25
ramom,6,1.0,2019-05-28,2022-03-04,4281,-0.24278373874241554,-0.09355414362222525,-2.1902434317070085,-0.2663144529785779,501.71237144499065,0.0
ramom,6,0.5,2019-05-28,2022-03-04,4281,-0.1493546908342095,-0.05553040448105717,-1.5040263068300361,-0.19043588428375158,348.1933972157655,0.0
ramom,6,0.25,2019-05-28,2022-03-04,4281,-0.08798321452738556,-0.032004229444486,-1.021684310855694,-0.1421818759366581,233.27056010178381,0.25
ramom,6,0.1,2019-05-28,2022-03-04,4281,-0.04825694209621434,-0.01731707205296862,-0.7561582210367332,-0.09310801972322857,117.9353400377143,0.25
tsmom,12,1.0,2019-05-28,2022-03-04,4281,-0.12299291411176994,-0.045294662086261095,-1.0002296702119315,-0.19356603973130115,349.75359967917757,0.25
tsmom,12,0.5,2019-05-28,2022-03-04,4281,-0.07851194174776577,-0.028465618934576553,-0.6899580040373469,-0.15486128948327615,243.5403671804521,0.25
tsmom,12,0.25,2019-05-28,2022-03-04,4281,-0.055007516303134274,-0.019784474179486478,-0.5298830236810863,-0.129880435619241,172.04506843770127,0.25
tsmom,12,0.1,2019-05-28,2022-03-04,4281,-0.06057341959887108,-0.02182745641687034,-0.7473095495258437,-0.10323512719906547,100.34661470492215,0.25
ramom,12,1.0,2019-05-28,2022-03-04,4281,-0.12703118075897935,-0.04684960944662386,-1.0353620429494501,-0.19781525603966266,348.2941540757607,0.25
ramom,12,0.5,2019-05-28,2022-03-04,4281,-0.08184242533605635,-0.0297072445640032,-0.7192821683815207,-0.15821897846175015,243.28412256891318,0.25
ramom,12,0.25,2019-05-28,2022-03-04,4281,-0.055372627460912094,-0.01991825047505369,-0.533189730827958,-0.13107345643060042,171.9802285659381,0.25
ramom,12,0.1,2019-05-28,2022-03-04,4281,-0.05861760147745132,-0.021108677259645825,-0.7223724688150271,-0.10215768061943864,100.32102949801461,0.25
tsmom,30,1.0,2019-05-28,2022-03-04,4281,-0.17270918817454228,-0.06477130636362427,-1.4166967345571233,-0.2148159481216939,236.85841548589008,0.0
tsmom,30,0.5,2019-05-28,2022-03-04,4281,-0.15632560795614048,-0.05827128824050043,-1.3554546882198084,-0.18436421020162697,163.339849619622,0.0
tsmom,30,0.25,2019-05-28,2022-03-04,4281,-0.1361009699234219,-0.05035899926560472,-1.2415369303489534,-0.16278312809916629,114.04749176411443,0.0
tsmom,30,0.1,2019-05-28,2022-03-04,4281,-0.11384823122546717,-0.0417905110856146,-1.1923332399902669,-0.1398512959159206,71.91705547973605,0.0
ramom,30,1.0,2019-05-28,2022-03-04,4281,-0.17816847507555666,-0.06695570215760183,-1.4796919970217448,-0.2073407225195607,234.34129527495045,0.0
ramom,30,0.5,2019-05-28,2022-03-04,4281,-0.1568803589991915,-0.05849003821575782,-1.369648226248718,-0.18445606519129754,160.91871334832922,0.0
ramom,30,0.25,2019-05-28,2022-03-04,4281,-0.13476021214409606,-0.049838721209493175,-1.231760038782433,-0.16499016671806765,112.87776877211647,0.0
ramom,30,0.1,2019-05-28,2022-03-04,4281,-0.11115811179218038,-0.040764139535467314,-1.1626019452937133,-0.13977237998267455,71.61384795845322,0.0
