decision,winner,loser,train_rows
2024-07-30 05:00:00+00:00,JPY,GBP,100
2024-08-06 05:00:00+00:00,JPY,EUR,104
2024-08-13 05:00:00+00:00,JPY,EUR,108
2024-08-20 05:00:00+00:00,JPY,EUR,112
2024-08-27 05:00:00+00:00,JPY,AUD,116
2024-09-03 05:00:00+00:00,EUR,JPY,120
2024-09-10 05:00:00+00:00,JPY,GBP,124
2024-09-17 05:00:00+00:00,JPY,GBP,128
2024-09-24 05:00:00+00:00,JPY,AUD,132
2024-10-01 05:00:00+00:00,GBP,EUR,136
2024-10-08 05:00:00+00:00,GBP,JPY,140
2024-10-15 05:00:00+00:00,GBP,EUR,144
2024-10-22 05:00:00+00:00,JPY,EUR,148
2024-10-29 05:00:00+00:00,GBP,JPY,152
2024-11-05 05:00:00+00:00,GBP,JPY,156
2024-11-12 05:00:00+00:00,JPY,AUD,160
2024-11-19 05:00:00+00:00,AUD,JPY,164
2024-11-26 05:00:00+00:00,GBP,EUR,168
2024-12-03 05:00:00+00:00,GBP,JPY,172
2024-12-10 05:00:00+00:00,GBP,AUD,176
2024-12-17 05:00:00+00:00,GBP,AUD,180
2024-12-25 05:00:00+00:00,GBP,AUD,184
2025-01-02 05:00:00+00:00,GBP,JPY,188
2025-01-09 05:00:00+00:00,GBP,JPY,192
2025-01-16 05:00:00+00:00,GBP,JPY,196
2025-01-23 05:00:00+00:00,GBP,JPY,200
2025-01-30 05:00:00+00:00,EUR,JPY,204
2025-02-06 05:00:00+00:00,JPY,AUD,208
2025-02-13 05:00:00+00:00,GBP,JPY,212
2025-02-20 05:00:00+00:00,EUR,GBP,216
2025-02-27 05:00:00+00:00,GBP,EUR,220
2025-03-06 05:00:00+00:00,AUD,GBP,224
2025-03-13 05:00:00+00:00,JPY,EUR,228
2025-03-20 05:00:00+00:00,AUD,EUR,232
2025-03-27 05:00:00+00:00,GBP,AUD,236
2025-04-03 05:00:00+00:00,AUD,GBP,240
2025-04-10 05:00:00+00:00,AUD,EUR,244
2025-04-17 05:00:00+00:00,AUD,JPY,248
2025-04-24 05:00:00+00:00,GBP,EUR,252
2025-05-01 05:00:00+00:00,JPY,EUR,256
2025-05-08 05:00:00+00:00,JPY,AUD,260
2025-05-15 05:00:00+00:00,JPY,EUR,264
2025-05-22 05:00:00+00:00,GBP,EUR,268
2025-05-29 05:00:00+00:00,GBP,EUR,272
2025-06-05 05:00:00+00:00,AUD,GBP,276
2025-06-12 05:00:00+00:00,JPY,EUR,280
2025-06-19 05:00:00+00:00,GBP,JPY,284
2025-06-26 05:00:00+00:00,EUR,AUD,288
2025-07-03 05:00:00+00:00,AUD,EUR,292
2025-07-10 05:00:00+00:00,AUD,EUR,296
2025-07-17 05:00:00+00:00,AUD,EUR,300
2025-07-24 05:00:00+00:00,AUD,EUR,304
2025-07-31 05:00:00+00:00,JPY,GBP,308
2025-08-07 05:00:00+00:00,AUD,GBP,312
2025-08-14 05:00:00+00:00,AUD,EUR,316
2025-08-21 05:00:00+00:00,GBP,EUR,320
2025-08-28 05:00:00+00:00,EUR,GBP,324
2025-09-04 05:00:00+00:00,JPY,AUD,328
2025-09-11 05:00:00+00:00,JPY,AUD,332
2025-09-18 05:00:00+00:00,JPY,AUD,336
2025-09-25 05:00:00+00:00,JPY,EUR,340
2025-10-02 05:00:00+00:00,AUD,EUR,344
2025-10-09 05:00:00+00:00,JPY,AUD,348
2025-10-16 05:00:00+00:00,JPY,EUR,352
2025-10-23 05:00:00+00:00,JPY,AUD,356
2025-10-30 05:00:00+00:00,JPY,AUD,360
2025-11-06 05:00:00+00:00,JPY,GBP,364
2025-11-13 05:00:00+00:00,JPY,GBP,368
2025-11-20 05:00:00+00:00,GBP,EUR,372
2025-11-27 05:00:00+00:00,JPY,AUD,376
2025-12-04 05:00:00+00:00,EUR,GBP,380
2025-12-11 05:00:00+00:00,EUR,GBP,384
2025-12-18 05:00:00+00:00,EUR,GBP,388
