model,lookback_days,cost_multiplier,sp500_cost_bps,wti_cost_bps,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,positive_year_fraction,breakeven_cost_multiplier,annualized_turnover,capacity_status
continuous,5,0.5,2.5,5.0,0.1348903845743874,0.032566371351773205,0.4225984031387668,-0.1922373346743279,0.75,1.2944865932407086,62.065257248258284,not_quantifiable_no_volume
continuous,5,1.0,5.0,10.0,0.04801951663729942,0.011949582829806404,0.15653591917174403,-0.2138641349028133,0.5,1.2944865932407086,62.065257248258284,not_quantifiable_no_volume
continuous,5,2.0,10.0,20.0,-0.10628246686057496,-0.02805727492474286,-0.3738787416556983,-0.25539614934608434,0.25,1.2944865932407086,62.065257248258284,not_quantifiable_no_volume
continuous,5,4.0,20.0,40.0,-0.350076719796678,-0.10338857414455915,-1.4156591985476144,-0.396597480294575,0.25,1.2944865932407086,62.065257248258284,not_quantifiable_no_volume
sparse,5,0.5,2.5,5.0,0.03232280278577848,0.008089302532606313,0.10640715258705764,-0.10948322053889448,0.5,0.9397437154111994,27.664832372352123,not_quantifiable_no_volume
sparse,5,1.0,5.0,10.0,-0.004349501148988355,-0.0011033756693789032,-0.014578057777218302,-0.1144259427102502,0.5,0.9397437154111994,27.664832372352123,not_quantifiable_no_volume
sparse,5,2.0,10.0,20.0,-0.07383213987841786,-0.019238014800382897,-0.2560877472442569,-0.14158261909527547,0.5,0.9397437154111994,27.664832372352123,not_quantifiable_no_volume
sparse,5,4.0,20.0,40.0,-0.19858902293282066,-0.05452558489846093,-0.7329038464319568,-0.2505336866886919,0.25,0.9397437154111994,27.664832372352123,not_quantifiable_no_volume
continuous,10,0.5,2.5,5.0,0.16255290334001748,0.03888348148126042,0.4976373026970849,-0.0875220103043618,1.0,2.0227365423481922,38.18744942955121,not_quantifiable_no_volume
continuous,10,1.0,5.0,10.0,0.10645575134835927,0.025951937157064897,0.3338124778586459,-0.09249759677489433,0.75,2.0227365423481922,38.18744942955121,not_quantifiable_no_volume
continuous,10,2.0,10.0,20.0,0.0022514692685895454,0.0005697426481632295,0.00739404572778992,-0.12324085173492982,0.5,2.0227365423481922,38.18744942955121,not_quantifiable_no_volume
continuous,10,4.0,20.0,40.0,-0.17763995132105326,-0.04832630503099511,-0.6356039378602614,-0.2290863792322959,0.0,2.0227365423481922,38.18744942955121,not_quantifiable_no_volume
sparse,10,0.5,2.5,5.0,0.03935166109960031,0.009823284773218033,0.12852166287876293,-0.1078755454904532,0.5,1.5496152323034076,13.468019095000447,not_quantifiable_no_volume
sparse,10,1.0,5.0,10.0,0.020416420478869268,0.005131838015392409,0.06722616517815944,-0.11085163686883548,0.5,1.5496152323034076,13.468019095000447,not_quantifiable_no_volume
sparse,10,2.0,10.0,20.0,-0.016425440715077788,-0.004185770052508864,-0.05493528876826199,-0.11677406838120052,0.5,1.5496152323034076,13.468019095000447,not_quantifiable_no_volume
sparse,10,4.0,20.0,40.0,-0.08616669181909586,-0.022562663203997246,-0.29647493862667423,-0.16147775866166802,0.5,1.5496152323034076,13.468019095000447,not_quantifiable_no_volume
continuous,20,0.5,2.5,5.0,0.11567386374632815,0.028110009207736653,0.3640561884864602,-0.1555094402051984,0.75,2.2052864722852568,24.08433587297292,not_quantifiable_no_volume
continuous,20,1.0,5.0,10.0,0.08043602359794022,0.019787089806615032,0.25742076557854504,-0.1681689712426402,0.75,2.2052864722852568,24.08433587297292,not_quantifiable_no_volume
continuous,20,2.0,10.0,20.0,0.013264084466401593,0.0033428366194525605,0.043851725161976794,-0.19597538057510977,0.5,2.2052864722852568,24.08433587297292,not_quantifiable_no_volume
continuous,20,4.0,20.0,40.0,-0.108810962109822,-0.02875444585116893,-0.38247529966360927,-0.2699809204543602,0.5,2.2052864722852568,24.08433587297292,not_quantifiable_no_volume
sparse,20,0.5,2.5,5.0,0.1768940032433557,0.042114381011296054,0.5329897668891624,-0.09053873891191933,1.0,9.229506294546187,6.958917647579652,not_quantifiable_no_volume
sparse,20,1.0,5.0,10.0,0.16596556986027644,0.0396550064503669,0.5022018455788263,-0.09187883050427104,0.75,9.229506294546187,6.958917647579652,not_quantifiable_no_volume
sparse,20,2.0,10.0,20.0,0.14441219937781336,0.03475365589396162,0.44057849537103927,-0.09455309272182744,0.75,9.229506294546187,6.958917647579652,not_quantifiable_no_volume
sparse,20,4.0,20.0,40.0,0.1024933631071443,0.025020166641057662,0.31742375454446775,-0.10289894610503625,0.75,9.229506294546187,6.958917647579652,not_quantifiable_no_volume
