model,lookback_days,regime,observations,mean_daily_return,annualized_conditional_return,conditional_sharpe,positive_day_fraction,cumulative_log_contribution
continuous,5,low_vol_up,496,-3.343084726264253e-05,-0.008389186234732393,-0.11226106612181184,0.4798387096774194,-0.016581700242270694
continuous,5,low_vol_down,37,0.0005561785360119646,0.150454395753151,1.542314768085137,0.5675675675675675,0.020578605832442688
continuous,5,high_vol_up,270,-0.00011424923840722572,-0.02838030180004769,-0.3943051794191659,0.4666666666666667,-0.030847294369950946
continuous,5,high_vol_down,192,0.0003841281106809525,0.10164033632841818,1.2241119750492633,0.515625,0.07375259725074287
sparse,5,low_vol_up,496,-1.607952173488163e-05,-0.004043841042426388,-0.05737158770419,0.4959677419354839,-0.007975442780501288
sparse,5,low_vol_down,37,-4.623133742292769e-05,-0.011582695102320906,-0.13834529481157173,0.5675675675675675,-0.0017105594846483245
sparse,5,high_vol_up,270,-0.00029756337839764615,-0.07224349859725432,-0.9790313760326248,0.45925925925925926,-0.08034211216736446
sparse,5,high_vol_down,192,0.0004461933681532809,0.11900593009448746,1.3217464175838474,0.53125,0.08566912668542993
continuous,10,low_vol_up,496,0.0001423581285004693,0.03652549353726009,0.48423653765328856,0.5120967741935484,0.07060963173623278
continuous,10,low_vol_down,37,-8.693514558535381e-05,-0.021669426834077354,-0.2620488113099906,0.5405405405405406,-0.003216600386658091
continuous,10,high_vol_up,270,-0.0002316633687935399,-0.056707787484430505,-0.758296845029762,0.46296296296296297,-0.06254910957425577
continuous,10,high_vol_down,192,0.0005016560843235596,0.13475564073723345,1.5460826968862378,0.5260416666666666,0.09631796819012345
sparse,10,low_vol_up,496,0.0001792775411590693,0.04621400705637613,0.6386129615812531,0.5201612903225806,0.08892166041489838
sparse,10,low_vol_down,37,-0.0015686211267181545,-0.3265169994651054,-5.214484431639542,0.3783783783783784,-0.05803898168857172
sparse,10,high_vol_up,270,-0.00040562799028292384,-0.09716751623153408,-1.3501698102941702,0.45925925925925926,-0.10951955737638944
sparse,10,high_vol_down,192,0.0005148316562715286,0.1385295682066614,1.4709245623944207,0.5729166666666666,0.09884767800413351
continuous,20,low_vol_up,496,6.513318533318446e-05,0.01654900524111813,0.2198212428382724,0.5201612903225806,0.03230605992525949
continuous,20,low_vol_down,37,8.736456955610542e-05,0.022260009170183004,0.2670855828426416,0.5675675675675675,0.0032324890735759004
continuous,20,high_vol_up,270,-0.000147394186704921,-0.03646198331878425,-0.49420917931913677,0.45555555555555555,-0.03979643041032867
continuous,20,high_vol_down,192,0.0004251175345106103,0.11307852091648662,1.3372882749438326,0.5208333333333334,0.08162256662603717
sparse,20,low_vol_up,496,7.197288032814683e-05,0.01830264315098451,0.2575238456895829,0.5221774193548387,0.03569854864276083
sparse,20,low_vol_down,37,-0.0007969097438184064,-0.18194135798350186,-2.109667688816554,0.40540540540540543,-0.02948566052128104
sparse,20,high_vol_up,270,0.00020880417656614044,0.05402761766559627,0.6596365298362895,0.5444444444444444,0.05637712767285792
sparse,20,high_vol_down,192,0.00047374762123058477,0.12680297873357138,1.3688423545433146,0.5625,0.09095954327627227
