entity,model,lookback_days,test_year,test_observations,net_return,sharpe,max_drawdown,annualized_turnover
SP500,continuous,5,2016,252,-0.15306832937434567,-1.6896388493504526,-0.22943131111323578,110.85609623378906
WTI,continuous,5,2016,252,-0.052931240629592424,-0.507065561051988,-0.13158455560557425,26.30740222774008
portfolio,continuous,5,2016,252,-0.10439823215284738,-1.3858109374197771,-0.17887214184094735,68.58174923076456
SP500,continuous,5,2017,250,-0.10646201751209228,-1.68243900103342,-0.11005347319736247,110.88003851607145
WTI,continuous,5,2017,250,0.09988604745504914,0.9085533367662051,-0.09850857609124741,47.65279439183768
portfolio,continuous,5,2017,250,-0.008642365334495472,-0.13914763618218526,-0.06226316302993662,79.26641645395456
SP500,continuous,5,2018,248,0.13243901109736922,1.1830522413421325,-0.05785676997208855,64.8767326562942
WTI,continuous,5,2018,248,0.22128711921134792,1.779484967482457,-0.06321477523594099,35.35748135025403
portfolio,continuous,5,2018,248,0.1760243099297114,1.9840692443697445,-0.03518653726948717,50.117107003274114
SP500,continuous,5,2019,245,0.10865395697264058,1.0882677493894861,-0.06829380141307329,60.13341160033648
WTI,continuous,5,2019,245,-0.09130207715122707,-0.8977497733038509,-0.13428746320235863,39.67624966957138
portfolio,continuous,5,2019,245,0.0037088959748794448,0.050107808533738196,-0.08514230803229095,49.904830634953925
SP500,sparse,5,2016,252,0.035887431167019646,0.3477120776943325,-0.11341498462625033,38.991003729874876
WTI,sparse,5,2016,252,-0.12764398436367996,-1.2546859706201863,-0.14704441780667143,13.20172345406446
portfolio,sparse,5,2016,252,-0.04938828531276562,-0.6200617622741023,-0.1059754354686514,26.09636359196967
SP500,sparse,5,2017,250,-0.003628279964624559,-0.05471579873172323,-0.07767550151904712,40.32
WTI,sparse,5,2017,250,0.09008118762446449,0.8366639084788213,-0.0887804121083906,20.487210330674763
portfolio,sparse,5,2017,250,0.04217372251059581,0.6788681734321831,-0.05907998464843911,30.40360516533738
SP500,sparse,5,2018,248,0.0949704731683465,0.8139607677587589,-0.05917638562424721,38.72682865436598
WTI,sparse,5,2018,248,0.056500572370260294,0.48050568019699913,-0.1390798402438953,20.443271622348504
portfolio,sparse,5,2018,248,0.07556354141951682,0.895980314584131,-0.08086505371148867,29.58505013835724
SP500,sparse,5,2019,245,0.08637563311470409,0.8562854003133383,-0.0630798619026256,31.33274048695976
WTI,sparse,5,2019,245,-0.19633489946916305,-2.0337949504459107,-0.20961975134939903,17.7466951021591
portfolio,sparse,5,2019,245,-0.06561133225976012,-0.9252114783004879,-0.11442594271025008,24.539717794559433
SP500,continuous,10,2016,252,-0.04923313585752054,-0.5117361035469803,-0.13682677498070694,51.53042988733279
WTI,continuous,10,2016,252,0.06685482653028618,0.6044485438771499,-0.07256206096003825,15.609599178118145
portfolio,continuous,10,2016,252,0.007139621857599865,0.08574627209733074,-0.09249759677489433,33.57001453272546
SP500,continuous,10,2017,250,-0.04059154699047007,-0.6043413948298978,-0.09241081491090941,66.59325253505015
WTI,continuous,10,2017,250,0.018929316200798185,0.17793437224913755,-0.07730137278577698,26.07765006144893
portfolio,continuous,10,2017,250,-0.011278907384764003,-0.18211302691687145,-0.040787748562577386,46.33545129824955
SP500,continuous,10,2018,248,0.08549423279472101,0.7801171970834914,-0.07669858734409252,50.045513059416834
WTI,continuous,10,2018,248,0.07707897158901456,0.6576413269996689,-0.1284557483322305,28.965323610713558
portfolio,continuous,10,2018,248,0.08127841554538784,0.9931666775806866,-0.0700728141484751,39.505418335065194
SP500,continuous,10,2019,245,0.14501619350683725,1.4323369902366667,-0.036039855099120666,41.78173452236736
WTI,continuous,10,2019,245,-0.0777377277777096,-0.7547731074301338,-0.19289976019953148,24.795097710270035
portfolio,continuous,10,2019,245,0.027621154100543777,0.35017557588010806,-0.08659355105124178,33.28841611631869
SP500,sparse,10,2016,252,-0.03901345587926741,-0.39258462959420737,-0.08418473009789995,18.370647538464198
WTI,sparse,10,2016,252,-0.023906225987407548,-0.21958564250594645,-0.14160187310732786,6.481927412416516
portfolio,sparse,10,2016,252,-0.0314892965867003,-0.3884193577178431,-0.09666616777044557,12.426287475440356
SP500,sparse,10,2017,250,0.12160538798423337,1.7053870990554947,-0.040886291111318473,16.128
WTI,sparse,10,2017,250,-0.021656782240038752,-0.20904152339117793,-0.0764694837256138,13.554256991063095
portfolio,sparse,10,2017,250,0.0475280542006522,0.7389789387123921,-0.05319554872476007,14.841128495531544
SP500,sparse,10,2018,248,0.09673158901211387,0.8106884570465899,-0.09855829756070866,15.063813488374633
WTI,sparse,10,2018,248,-0.0280203151160614,-0.24601249294729394,-0.17363579487853642,11.591080260967006
portfolio,sparse,10,2018,248,0.03247315911371551,0.4008159783823436,-0.11085163686883537,13.327446874670821
SP500,sparse,10,2019,245,0.09850532104878784,0.9260629269252723,-0.07591007025456609,16.892541956596403
WTI,sparse,10,2019,245,-0.136116862407469,-1.3466522137920847,-0.20510852665252044,9.668809936572774
portfolio,sparse,10,2019,245,-0.025843840336818857,-0.35122113295274127,-0.09552979037220799,13.280675946584589
SP500,continuous,20,2016,252,-0.060837178113709256,-0.6389798206872297,-0.17000484382399728,44.720960954288095
WTI,continuous,20,2016,252,-0.0783077956614523,-0.7630185121778672,-0.15586207473053482,11.808031836064597
portfolio,continuous,20,2016,252,-0.06961349346780288,-0.8967313531732242,-0.14160056740602756,28.264496395176348
SP500,continuous,20,2017,250,0.12441781372641203,1.752885060943793,-0.043398393105761546,20.160038516071452
WTI,continuous,20,2017,250,-0.09584021737574011,-0.9597272512607271,-0.1283107255178888,25.804844773608576
portfolio,continuous,20,2017,250,0.008292301883594755,0.13208651435128824,-0.06815975007412123,22.982441644840016
