excluded_asset,n,total_return,annualized_mean,sharpe,max_drawdown
AUDUSD,1881,-0.22497572751276862,-0.5463047702862607,-17.17518455147319,-0.22497572751276862
EURJPY,1881,-0.2196294741711553,-0.5315690175203065,-15.392058899444025,-0.2196294741711553
EURUSD,1881,-0.2153456605917724,-0.5198343137893982,-15.532020130714313,-0.2153456605917724
GBPUSD,1881,-0.22391617314211798,-0.5433762854957637,-16.985493546115915,-0.22391617314211798
NZDUSD,1881,-0.2243702479798798,-0.5446308055604607,-16.57352072792751,-0.2243702479798798
USDCAD,1881,-0.22255659773963699,-0.5396244286137619,-15.729845871527106,-0.22255659773963699
USDCHF,1881,-0.2187789539393845,-0.5292340601339744,-15.455703379066739,-0.2187789539393845
USDJPY,1881,-0.2331878757495931,-0.5691388922857585,-18.68661204728218,-0.2331878757495931
GRXEUR,1881,-0.2283455124977103,-0.5556451488833025,-15.918636772655935,-0.2283455124977103
NSXUSD,1881,-0.21854496149121416,-0.528592119890831,-16.094281237550653,-0.21854496149121416
SPXUSD,1881,-0.2070153009253295,-0.4971971575575016,-14.386649887899729,-0.2070153009253295
UKXGBP,1881,-0.21351059446902487,-0.514827081742883,-16.268676350717467,-0.21351059446902487
BCOUSD,1881,-0.23654389758477734,-0.5785408790754172,-18.573812998718946,-0.23654389758477734
XAGUSD,1881,-0.1859946475378894,-0.4411156708025443,-14.256045537955659,-0.1859946475378894
XAUUSD,1881,-0.17462514530643236,-0.4113832377002345,-12.200591862798165,-0.17492418953430622
