model,kind,segment,n,total_return,annualized_mean,sharpe,max_drawdown
nonlinear,month,2024-03,36,-0.006235040798300395,-0.7005107023225705,-46.05453936102913,-0.006235040798300395
nonlinear,month,2024-04,208,-0.03279934881093527,-0.6464634780895469,-23.566684451216112,-0.03323499642646455
nonlinear,month,2024-05,223,-0.044211710143658545,-0.8175891540292568,-23.89556073959893,-0.04340648824924365
nonlinear,month,2024-06,190,-0.02132891293596173,-0.4575187044337554,-13.051336695433317,-0.02228615518509336
nonlinear,month,2024-07,217,-0.024114167440100753,-0.4535474956918251,-10.913008212521499,-0.024668941775188524
nonlinear,month,2024-08,212,-0.035753757520063156,-0.6924499502463801,-20.83604657168463,-0.03615887768670267
nonlinear,month,2024-09,195,-0.02384440721631298,-0.49900210729528094,-16.078678810312713,-0.023475936317964408
nonlinear,month,2024-10,225,-0.01508468507377203,-0.2723771223088169,-8.202524844504273,-0.020156984780695497
nonlinear,month,2024-11,197,-0.03142759403035966,-0.6535531836394491,-18.89891507875499,-0.03170253044359761
nonlinear,month,2024-12,178,-0.025023573408731736,-0.5740386970953238,-21.698845340960215,-0.025023573408731736
nonlinear,hour,8,158,-0.03021083051885698,-0.7828353118104613,-11.19867016037464,-0.031159014800279716
nonlinear,hour,9,158,-0.022596273616777518,-0.5832487458081831,-10.522463887096432,-0.024517690637750444
nonlinear,hour,10,158,-0.03165213058129435,-0.8207898259556754,-21.474565476671977,-0.03226450507239753
nonlinear,hour,11,158,-0.01331301320885514,-0.3420163349377658,-15.710313461101144,-0.013589138846824111
nonlinear,hour,12,158,-0.011192019111325724,-0.2872192909465121,-16.73891216799048,-0.011768334521157997
nonlinear,hour,13,158,-0.014900324189709324,-0.3831025014548295,-23.048135538973483,-0.015714500153924837
nonlinear,hour,14,155,-0.01882359035750425,-0.49432344037430337,-20.689133006481992,-0.018992845050144647
nonlinear,hour,15,143,-0.022400630149638667,-0.6387853939765203,-33.72068852054676,-0.022437728638304844
