timeframe,model,cost_case,total_return,annualized_return,sharpe,max_drawdown,avg_turnover,positive_bars,bars
15m,trend,spread2.0_slip1.0_fee0.5,3.408026260650595,3.460649778047528,37.83153390116376,-0.03409239267206987,249.88101272865563,0.5945833333333334,24000
15m,trend,spread5.0_slip3.0_fee1.0,2.6600724322669085,2.6982613394574257,32.44095859382265,-0.06949768078633822,249.88101272865563,0.5859166666666666,24000
15m,trend,spread10.0_slip6.0_fee2.0,1.7180711370563069,1.7399012178326632,23.62553136765744,-0.12983615895125122,249.88101272865563,0.5750416666666667,24000
15m,breakout,spread2.0_slip1.0_fee0.5,-0.6471293769382152,-0.6500577109438006,-57.531504959331805,-0.6472606687471048,3236.1691979695574,0.24058333333333334,24000
15m,breakout,spread5.0_slip3.0_fee1.0,-0.9682537516104444,-0.9691179622706061,-122.03122481903638,-0.9682537516104444,3236.1691979695574,0.13258333333333333,24000
15m,breakout,spread10.0_slip6.0_fee2.0,-0.9993273553594879,-0.9993655345584354,-145.5172665817759,-0.9993273553594879,3236.1691979695574,0.09875,24000
15m,meanrev,spread2.0_slip1.0_fee0.5,-0.8204622122650727,-0.8229120067957808,-65.15721050138706,-0.8204468765971068,2065.7581196316996,0.32016666666666665,24000
15m,meanrev,spread5.0_slip3.0_fee1.0,-0.9614080207305524,-0.9623998974640566,-102.34291133124825,-0.9613998705505336,2065.7581196316996,0.24783333333333332,24000
15m,meanrev,spread10.0_slip6.0_fee2.0,-0.9967037133983876,-0.9968510253468603,-124.48681859556267,-0.9967023537208848,2065.7581196316996,0.21216666666666667,24000
1h,trend,spread2.0_slip1.0_fee0.5,1.3712818600205643,1.3877180607846822,77.5018169134518,-0.011833442284567841,153.36071795416845,0.6975,6000
1h,trend,spread5.0_slip3.0_fee1.0,1.3045941822378322,1.3200386336874552,74.46872100695897,-0.014983492053493475,153.36071795416845,0.6913333333333334,6000
1h,trend,spread10.0_slip6.0_fee2.0,1.20176543112336,1.2157115275410755,69.28808245442485,-0.024982282402790768,153.36071795416845,0.684,6000
1h,breakout,spread2.0_slip1.0_fee0.5,0.1400354357604181,0.14123136098789835,22.2250345064934,-0.018401776514320956,2335.048329005475,0.425,6000
1h,breakout,spread5.0_slip3.0_fee1.0,-0.2616313858973438,-0.2634208630300483,-45.73847666158351,-0.26202197201777244,2335.048329005475,0.2813333333333333,6000
1h,breakout,spread10.0_slip6.0_fee2.0,-0.6315411770498813,-0.6344724865605504,-107.89917670860609,-0.6316035201779442,2335.048329005475,0.17283333333333334,6000
1h,meanrev,spread2.0_slip1.0_fee0.5,-0.5220760353937675,-0.5248905393572605,-91.54856185229546,-0.5219030406688023,1001.6629895470581,0.26216666666666666,6000
1h,meanrev,spread5.0_slip3.0_fee1.0,-0.603333318062872,-0.6062567432062418,-111.2123058046449,-0.6031894418995641,1001.6629895470581,0.21683333333333332,6000
1h,meanrev,spread10.0_slip6.0_fee2.0,-0.7056126855362124,-0.7084785976287632,-132.36573191974017,-0.7055055580387903,1001.6629895470581,0.17766666666666667,6000
4h,trend,spread2.0_slip1.0_fee0.5,0.35883182051253004,0.36216913058851397,81.98438526824256,-0.021635326192403048,81.38994088572134,0.6893333333333334,1500
4h,trend,spread5.0_slip3.0_fee1.0,0.3536993551858776,0.35698297774294874,80.91502588270671,-0.021895395181788624,81.38994088572134,0.688,1500
4h,trend,spread10.0_slip6.0_fee2.0,0.34552741432764433,0.3487258801672961,79.13932983633146,-0.022311379849078272,81.38994088572134,0.6826666666666666,1500
4h,breakout,spread2.0_slip1.0_fee0.5,0.2483639528232291,0.25058135493844147,101.32239470922707,-0.0026739453049149375,886.6872692865971,0.5373333333333333,1500
4h,breakout,spread5.0_slip3.0_fee1.0,0.19794510833833656,0.19967722405746446,84.58906248578865,-0.0054469013187260495,886.6872692865971,0.5066666666666667,1500
4h,breakout,spread10.0_slip6.0_fee2.0,0.12147019405569881,0.12249919305363677,53.75918594685222,-0.010481483790710011,886.6872692865971,0.444,1500
4h,meanrev,spread2.0_slip1.0_fee0.5,-0.300400412721455,-0.3023969977993197,-130.35081794588595,-0.2998718510109778,347.8801123389467,0.14866666666666667,1500
4h,meanrev,spread5.0_slip3.0_fee1.0,-0.3116297203772672,-0.31368310771239427,-136.41187968565515,-0.31110911099058025,347.8801123389467,0.134,1500
4h,meanrev,spread10.0_slip6.0_fee2.0,-0.329223751497296,-0.3313631655713233,-145.07597867714424,-0.3287156194525097,347.8801123389467,0.118,1500
