omitted_asset,assets_remaining,net_return
AUDUSD,14,-0.005876102866954425
BCOUSD,14,-0.006605980021217027
EURJPY,14,-0.00611897793241202
EURUSD,14,-0.00578154600049336
GBPUSD,14,-0.006175582360185472
GRXEUR,14,-0.00645897491945063
NSXUSD,14,-0.00623902249255568
NZDUSD,14,-0.005652752306547439
SPXUSD,14,-0.006663611259015651
UKXGBP,14,-0.006720185526595969
USDCAD,14,-0.006590654068927113
USDCHF,14,-0.00625040825717239
USDJPY,14,-0.0060369283918217725
XAGUSD,14,-0.006365311399662895
XAUUSD,14,-0.006751411997014279
