event_id,weeks_before,candidate_release_utc,status,reason
FOMC_2023_02_01,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,5,2022-12-28 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_02_01,6,2022-12-21 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_02_01,7,2022-12-14 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_02_01,8,2022-12-07 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_02_01,9,2022-11-30 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_02_01,10,2022-11-23 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_02_01,11,2022-11-16 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_02_01,12,2022-11-09 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_03_22,1,2023-03-15 18:00:00+00:00,rejected,stale boundary price by 0 days 02:00:00
FOMC_2023_03_22,2,2023-03-08 19:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_03_22,3,2023-03-01 19:00:00+00:00,rejected,stale boundary price by 0 days 02:00:00
FOMC_2023_03_22,4,2023-02-22 19:00:00+00:00,selected,
FOMC_2023_03_22,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,7,2023-02-01 19:00:00+00:00,selected,
FOMC_2023_03_22,8,2023-01-25 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,9,2023-01-18 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,12,2022-12-28 19:00:00+00:00,rejected,no observation before boundary
FOMC_2023_05_03,1,2023-04-26 18:00:00+00:00,rejected,stale boundary price by 0 days 02:00:00
FOMC_2023_05_03,2,2023-04-19 18:00:00+00:00,selected,
FOMC_2023_05_03,3,2023-04-12 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_05_03,4,2023-04-05 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_05_03,5,2023-03-29 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_05_03,6,2023-03-22 18:00:00+00:00,selected,
FOMC_2023_05_03,7,2023-03-15 18:00:00+00:00,rejected,stale boundary price by 0 days 02:00:00
FOMC_2023_05_03,8,2023-03-08 19:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_05_03,9,2023-03-01 19:00:00+00:00,rejected,stale boundary price by 0 days 02:00:00
FOMC_2023_05_03,10,2023-02-22 19:00:00+00:00,selected,
FOMC_2023_05_03,11,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_05_03,12,2023-02-08 19:00:00+00:00,valid_not_selected,
FOMC_2023_06_14,1,2023-06-07 18:00:00+00:00,selected,
FOMC_2023_06_14,2,2023-05-31 18:00:00+00:00,selected,
FOMC_2023_06_14,3,2023-05-24 18:00:00+00:00,selected,
FOMC_2023_06_14,4,2023-05-17 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_06_14,5,2023-05-10 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_06_14,6,2023-05-03 18:00:00+00:00,selected,
FOMC_2023_06_14,7,2023-04-26 18:00:00+00:00,rejected,stale boundary price by 0 days 02:00:00
FOMC_2023_06_14,8,2023-04-19 18:00:00+00:00,valid_not_selected,
FOMC_2023_06_14,9,2023-04-12 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_06_14,10,2023-04-05 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_06_14,11,2023-03-29 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_06_14,12,2023-03-22 18:00:00+00:00,valid_not_selected,
FOMC_2023_07_26,1,2023-07-19 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_07_26,2,2023-07-12 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_07_26,3,2023-07-05 18:00:00+00:00,rejected,stale boundary price by 0 days 21:00:00
FOMC_2023_07_26,4,2023-06-28 18:00:00+00:00,selected,
FOMC_2023_07_26,5,2023-06-21 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_07_26,6,2023-06-14 18:00:00+00:00,selected,
FOMC_2023_07_26,7,2023-06-07 18:00:00+00:00,selected,
FOMC_2023_07_26,8,2023-05-31 18:00:00+00:00,selected,
FOMC_2023_07_26,9,2023-05-24 18:00:00+00:00,valid_not_selected,
FOMC_2023_07_26,10,2023-05-17 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_07_26,11,2023-05-10 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_07_26,12,2023-05-03 18:00:00+00:00,valid_not_selected,
FOMC_2023_09_20,1,2023-09-13 18:00:00+00:00,selected,
FOMC_2023_09_20,2,2023-09-06 18:00:00+00:00,selected,
FOMC_2023_09_20,3,2023-08-30 18:00:00+00:00,selected,
FOMC_2023_09_20,4,2023-08-23 18:00:00+00:00,selected,
FOMC_2023_09_20,5,2023-08-16 18:00:00+00:00,valid_not_selected,
FOMC_2023_09_20,6,2023-08-09 18:00:00+00:00,valid_not_selected,
FOMC_2023_09_20,7,2023-08-02 18:00:00+00:00,valid_not_selected,
FOMC_2023_09_20,8,2023-07-26 18:00:00+00:00,valid_not_selected,
FOMC_2023_09_20,9,2023-07-19 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_09_20,10,2023-07-12 18:00:00+00:00,rejected,stale boundary price by 0 days 01:00:00
FOMC_2023_09_20,11,2023-07-05 18:00:00+00:00,rejected,stale boundary price by 0 days 21:00:00
FOMC_2023_09_20,12,2023-06-28 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,1,2023-10-25 18:00:00+00:00,selected,
FOMC_2023_11_01,2,2023-10-18 18:00:00+00:00,selected,
FOMC_2023_11_01,3,2023-10-11 18:00:00+00:00,selected,
FOMC_2023_11_01,4,2023-10-04 18:00:00+00:00,selected,
FOMC_2023_11_01,5,2023-09-27 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,6,2023-09-20 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,7,2023-09-13 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,8,2023-09-06 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,9,2023-08-30 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,10,2023-08-23 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,11,2023-08-16 18:00:00+00:00,valid_not_selected,
FOMC_2023_11_01,12,2023-08-09 18:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,1,2023-12-06 19:00:00+00:00,selected,
FOMC_2023_12_13,2,2023-11-29 19:00:00+00:00,selected,
FOMC_2023_12_13,3,2023-11-22 19:00:00+00:00,selected,
FOMC_2023_12_13,4,2023-11-15 19:00:00+00:00,selected,
FOMC_2023_12_13,5,2023-11-08 19:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,6,2023-11-01 18:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,7,2023-10-25 18:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,8,2023-10-18 18:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,9,2023-10-11 18:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,10,2023-10-04 18:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,11,2023-09-27 18:00:00+00:00,valid_not_selected,
FOMC_2023_12_13,12,2023-09-20 18:00:00+00:00,valid_not_selected,
FOMC_2024_01_31,1,2024-01-24 19:00:00+00:00,selected,
FOMC_2024_01_31,2,2024-01-17 19:00:00+00:00,selected,
FOMC_2024_01_31,3,2024-01-10 19:00:00+00:00,selected,
FOMC_2024_01_31,4,2024-01-03 19:00:00+00:00,selected,
FOMC_2024_01_31,5,2023-12-27 19:00:00+00:00,rejected,stale boundary price by 3 days 19:00:00
FOMC_2024_01_31,6,2023-12-20 19:00:00+00:00,valid_not_selected,
FOMC_2024_01_31,7,2023-12-13 19:00:00+00:00,valid_not_selected,
FOMC_2024_01_31,8,2023-12-06 19:00:00+00:00,valid_not_selected,
FOMC_2024_01_31,9,2023-11-29 19:00:00+00:00,valid_not_selected,
FOMC_2024_01_31,10,2023-11-22 19:00:00+00:00,valid_not_selected,
FOMC_2024_01_31,11,2023-11-15 19:00:00+00:00,valid_not_selected,
FOMC_2024_01_31,12,2023-11-08 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,1,2024-03-13 18:00:00+00:00,selected,
FOMC_2024_03_20,2,2024-03-06 19:00:00+00:00,selected,
FOMC_2024_03_20,3,2024-02-28 19:00:00+00:00,selected,
FOMC_2024_03_20,4,2024-02-21 19:00:00+00:00,selected,
FOMC_2024_03_20,5,2024-02-14 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,6,2024-02-07 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,7,2024-01-31 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,8,2024-01-24 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,9,2024-01-17 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,10,2024-01-10 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,11,2024-01-03 19:00:00+00:00,valid_not_selected,
FOMC_2024_03_20,12,2023-12-27 19:00:00+00:00,rejected,stale boundary price by 3 days 19:00:00
FOMC_2024_05_01,1,2024-04-24 18:00:00+00:00,selected,
FOMC_2024_05_01,2,2024-04-17 18:00:00+00:00,selected,
FOMC_2024_05_01,3,2024-04-10 18:00:00+00:00,selected,
FOMC_2024_05_01,4,2024-04-03 18:00:00+00:00,selected,
FOMC_2024_05_01,5,2024-03-27 18:00:00+00:00,valid_not_selected,
FOMC_2024_05_01,6,2024-03-20 18:00:00+00:00,valid_not_selected,
FOMC_2024_05_01,7,2024-03-13 18:00:00+00:00,valid_not_selected,
FOMC_2024_05_01,8,2024-03-06 19:00:00+00:00,valid_not_selected,
FOMC_2024_05_01,9,2024-02-28 19:00:00+00:00,valid_not_selected,
FOMC_2024_05_01,10,2024-02-21 19:00:00+00:00,valid_not_selected,
FOMC_2024_05_01,11,2024-02-14 19:00:00+00:00,valid_not_selected,
FOMC_2024_05_01,12,2024-02-07 19:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,1,2024-06-05 18:00:00+00:00,selected,
FOMC_2024_06_12,2,2024-05-29 18:00:00+00:00,selected,
FOMC_2024_06_12,3,2024-05-22 18:00:00+00:00,selected,
FOMC_2024_06_12,4,2024-05-15 18:00:00+00:00,selected,
FOMC_2024_06_12,5,2024-05-08 18:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,6,2024-05-01 18:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,7,2024-04-24 18:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,8,2024-04-17 18:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,9,2024-04-10 18:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,10,2024-04-03 18:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,11,2024-03-27 18:00:00+00:00,valid_not_selected,
FOMC_2024_06_12,12,2024-03-20 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,1,2024-07-24 18:00:00+00:00,selected,
FOMC_2024_07_31,2,2024-07-17 18:00:00+00:00,selected,
FOMC_2024_07_31,3,2024-07-10 18:00:00+00:00,selected,
FOMC_2024_07_31,4,2024-07-03 18:00:00+00:00,selected,
FOMC_2024_07_31,5,2024-06-26 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,6,2024-06-19 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,7,2024-06-12 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,8,2024-06-05 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,9,2024-05-29 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,10,2024-05-22 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,11,2024-05-15 18:00:00+00:00,valid_not_selected,
FOMC_2024_07_31,12,2024-05-08 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,1,2024-09-11 18:00:00+00:00,selected,
FOMC_2024_09_18,2,2024-09-04 18:00:00+00:00,selected,
FOMC_2024_09_18,3,2024-08-28 18:00:00+00:00,selected,
FOMC_2024_09_18,4,2024-08-21 18:00:00+00:00,selected,
FOMC_2024_09_18,5,2024-08-14 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,6,2024-08-07 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,7,2024-07-31 18:00:00+00:00,valid_not_selected,
FOMC_2024_09_18,8,2024-07-24 18:00:00+00:00,valid_not_selected,
