event_id,asset,weeks_before,control_release_utc,status,reason
FOMC_2023_02_01,EURUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,EURUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,EURUSD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,EURUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,EURUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,GBPUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,GBPUSD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,GBPUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,GBPUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,GBPUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,AUDUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,AUDUSD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,AUDUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,AUDUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,AUDUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,NZDUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,NZDUSD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,NZDUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,NZDUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NZDUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,USDJPY,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,USDJPY,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,USDJPY,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,USDJPY,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDJPY,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCHF,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCHF,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCHF,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCHF,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,EURJPY,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,EURJPY,3,2023-01-11 19:00:00+00:00,selected,
