event_id,assets,families,primary_eligible
FOMC_2023_02_01,12,3,True
FOMC_2023_03_22,0,0,False
FOMC_2023_05_03,0,0,False
FOMC_2023_06_14,0,0,False
FOMC_2023_07_26,0,0,False
FOMC_2023_09_20,12,3,True
FOMC_2023_11_01,12,3,True
FOMC_2023_12_13,12,3,True
FOMC_2024_01_31,12,3,True
FOMC_2024_03_20,12,3,True
FOMC_2024_05_01,12,3,True
FOMC_2024_06_12,12,3,True
FOMC_2024_07_31,12,3,True
FOMC_2024_09_18,12,3,True
FOMC_2024_11_07,10,3,True
FOMC_2024_12_18,12,3,True
FOMC_2025_01_29,12,3,True
FOMC_2025_03_19,12,3,True
FOMC_2025_05_07,12,3,True
FOMC_2025_06_18,12,3,True
FOMC_2025_07_30,12,3,True
FOMC_2025_09_17,12,3,True
FOMC_2025_10_29,12,3,True
FOMC_2025_12_10,12,3,True
