matched_event_id,asset,control_release_utc,weeks_before,jump_bps
FOMC_2023_02_01,EURUSD,2023-01-25 19:00:00+00:00,1,1.1916274436731473
FOMC_2023_02_01,EURUSD,2023-01-18 19:00:00+00:00,2,5.0962025129240045
FOMC_2023_02_01,EURUSD,2023-01-11 19:00:00+00:00,3,4.092452273087563
FOMC_2023_02_01,EURUSD,2023-01-04 19:00:00+00:00,4,1.415274589220757
FOMC_2023_02_01,GBPUSD,2023-01-25 19:00:00+00:00,1,1.6944297679239184
FOMC_2023_02_01,GBPUSD,2023-01-18 19:00:00+00:00,2,8.675594153398183
FOMC_2023_02_01,GBPUSD,2023-01-11 19:00:00+00:00,3,2.8815478227585367
FOMC_2023_02_01,GBPUSD,2023-01-04 19:00:00+00:00,4,0.3316172142795317
FOMC_2023_02_01,AUDUSD,2023-01-25 19:00:00+00:00,1,0.8452489967703491
FOMC_2023_02_01,AUDUSD,2023-01-18 19:00:00+00:00,2,2.878443357717155
FOMC_2023_02_01,AUDUSD,2023-01-11 19:00:00+00:00,3,0.8687971508916235
FOMC_2023_02_01,AUDUSD,2023-01-04 19:00:00+00:00,4,3.949822675056425
FOMC_2023_02_01,NZDUSD,2023-01-25 19:00:00+00:00,1,1.0800719029795853
FOMC_2023_02_01,NZDUSD,2023-01-18 19:00:00+00:00,2,4.819239741623708
FOMC_2023_02_01,NZDUSD,2023-01-11 19:00:00+00:00,3,3.142430695982508
FOMC_2023_02_01,NZDUSD,2023-01-04 19:00:00+00:00,4,3.178336485452642
FOMC_2023_02_01,USDJPY,2023-01-25 19:00:00+00:00,1,2.4701078482044503
FOMC_2023_02_01,USDJPY,2023-01-18 19:00:00+00:00,2,9.004743623962217
FOMC_2023_02_01,USDJPY,2023-01-11 19:00:00+00:00,3,0.6045675077039916
FOMC_2023_02_01,USDJPY,2023-01-04 19:00:00+00:00,4,3.471148003855154
FOMC_2023_02_01,USDCHF,2023-01-25 19:00:00+00:00,1,1.1980808936751814
FOMC_2023_02_01,USDCHF,2023-01-18 19:00:00+00:00,2,2.509670427976861
FOMC_2023_02_01,USDCHF,2023-01-11 19:00:00+00:00,3,2.9015878336891334
FOMC_2023_02_01,USDCHF,2023-01-04 19:00:00+00:00,4,0.0
FOMC_2023_02_01,USDCAD,2023-01-25 19:00:00+00:00,1,3.2854945711534214
FOMC_2023_02_01,USDCAD,2023-01-18 19:00:00+00:00,2,2.2258330271952937
FOMC_2023_02_01,USDCAD,2023-01-11 19:00:00+00:00,3,1.787576349166957
FOMC_2023_02_01,USDCAD,2023-01-04 19:00:00+00:00,4,8.446384486617548
FOMC_2023_02_01,EURJPY,2023-01-25 19:00:00+00:00,1,0.7783009693767583
FOMC_2023_02_01,EURJPY,2023-01-18 19:00:00+00:00,2,4.171581521410659
FOMC_2023_02_01,EURJPY,2023-01-11 19:00:00+00:00,3,2.952154039532527
FOMC_2023_02_01,EURJPY,2023-01-04 19:00:00+00:00,4,4.271861314910048
FOMC_2023_02_01,XAUUSD,2023-01-25 19:00:00+00:00,1,1.4941598984995819
FOMC_2023_02_01,XAUUSD,2023-01-18 19:00:00+00:00,2,7.667926648074005
FOMC_2023_02_01,XAUUSD,2023-01-11 19:00:00+00:00,3,1.0652264814721404
FOMC_2023_02_01,XAUUSD,2023-01-04 19:00:00+00:00,4,4.051754465090594
FOMC_2023_02_01,XAGUSD,2023-01-25 19:00:00+00:00,1,5.879141814660713
FOMC_2023_02_01,XAGUSD,2023-01-18 19:00:00+00:00,2,25.52541162993763
FOMC_2023_02_01,XAGUSD,2023-01-11 19:00:00+00:00,3,2.5609287774950027
FOMC_2023_02_01,XAGUSD,2023-01-04 19:00:00+00:00,4,47.61211514003811
FOMC_2023_02_01,SPXUSD,2023-01-25 19:00:00+00:00,1,0.7071645391177268
FOMC_2023_02_01,SPXUSD,2023-01-18 19:00:00+00:00,2,12.508066090721082
FOMC_2023_02_01,SPXUSD,2023-01-11 19:00:00+00:00,3,5.561662158425352
FOMC_2023_02_01,SPXUSD,2023-01-04 19:00:00+00:00,4,4.153921103356765
FOMC_2023_02_01,NSXUSD,2023-01-25 19:00:00+00:00,1,3.853022467325876
FOMC_2023_02_01,NSXUSD,2023-01-18 19:00:00+00:00,2,17.85436623609796
FOMC_2023_02_01,NSXUSD,2023-01-11 19:00:00+00:00,3,5.136887118831822
FOMC_2023_02_01,NSXUSD,2023-01-04 19:00:00+00:00,4,5.3769199208064204
FOMC_2023_09_20,EURUSD,2023-09-13 18:00:00+00:00,1,1.303501766228375
FOMC_2023_09_20,EURUSD,2023-09-06 18:00:00+00:00,2,2.7982986526894638
FOMC_2023_09_20,EURUSD,2023-08-30 18:00:00+00:00,3,1.8306468641795715
FOMC_2023_09_20,EURUSD,2023-08-23 18:00:00+00:00,4,2.4853067870950003
FOMC_2023_09_20,GBPUSD,2023-09-13 18:00:00+00:00,1,2.240824632836812
FOMC_2023_09_20,GBPUSD,2023-09-06 18:00:00+00:00,2,4.479713373263082
FOMC_2023_09_20,GBPUSD,2023-08-30 18:00:00+00:00,3,1.5726485005753996
FOMC_2023_09_20,GBPUSD,2023-08-23 18:00:00+00:00,4,6.602995169749064
FOMC_2023_09_20,AUDUSD,2023-09-13 18:00:00+00:00,1,3.1113393010898602
FOMC_2023_09_20,AUDUSD,2023-09-06 18:00:00+00:00,2,0.15680002508997604
FOMC_2023_09_20,AUDUSD,2023-08-30 18:00:00+00:00,3,0.0
FOMC_2023_09_20,AUDUSD,2023-08-23 18:00:00+00:00,4,2.4721115048174864
FOMC_2023_09_20,NZDUSD,2023-09-13 18:00:00+00:00,1,1.35137418067375
FOMC_2023_09_20,NZDUSD,2023-09-06 18:00:00+00:00,2,1.3633729868762492
FOMC_2023_09_20,NZDUSD,2023-08-30 18:00:00+00:00,3,2.3446658958542406
FOMC_2023_09_20,NZDUSD,2023-08-23 18:00:00+00:00,4,3.679422037764551
FOMC_2023_09_20,USDJPY,2023-09-13 18:00:00+00:00,1,1.5611159974846613
FOMC_2023_09_20,USDJPY,2023-09-06 18:00:00+00:00,2,2.7104862100542815
FOMC_2023_09_20,USDJPY,2023-08-30 18:00:00+00:00,3,0.6161492726266007
FOMC_2023_09_20,USDJPY,2023-08-23 18:00:00+00:00,4,1.9358005632797237
FOMC_2023_09_20,USDCHF,2023-09-13 18:00:00+00:00,1,2.4653174781411025
FOMC_2023_09_20,USDCHF,2023-09-06 18:00:00+00:00,2,2.5780562719502593
FOMC_2023_09_20,USDCHF,2023-08-30 18:00:00+00:00,3,2.7325204255146525
FOMC_2023_09_20,USDCHF,2023-08-23 18:00:00+00:00,4,1.3666025143990366
FOMC_2023_09_20,USDCAD,2023-09-13 18:00:00+00:00,1,0.7382198569729032
FOMC_2023_09_20,USDCAD,2023-09-06 18:00:00+00:00,2,0.6586964399835878
FOMC_2023_09_20,USDCAD,2023-08-30 18:00:00+00:00,3,0.14781092027312587
FOMC_2023_09_20,USDCAD,2023-08-23 18:00:00+00:00,4,3.326815270454656
FOMC_2023_09_20,EURJPY,2023-09-13 18:00:00+00:00,1,3.2229830566832978
FOMC_2023_09_20,EURJPY,2023-09-06 18:00:00+00:00,2,0.18961719449363054
FOMC_2023_09_20,EURJPY,2023-08-30 18:00:00+00:00,3,1.2532820339630804
FOMC_2023_09_20,EURJPY,2023-08-23 18:00:00+00:00,4,0.5091098851131746
FOMC_2023_09_20,XAUUSD,2023-09-13 18:00:00+00:00,1,5.552369197091036
FOMC_2023_09_20,XAUUSD,2023-09-06 18:00:00+00:00,2,7.085123361328687
FOMC_2023_09_20,XAUUSD,2023-08-30 18:00:00+00:00,3,1.7996681460518216
FOMC_2023_09_20,XAUUSD,2023-08-23 18:00:00+00:00,4,3.2362889897638194
FOMC_2023_09_20,XAGUSD,2023-09-13 18:00:00+00:00,1,12.70119518168204
FOMC_2023_09_20,XAGUSD,2023-09-06 18:00:00+00:00,2,8.201852351606457
FOMC_2023_09_20,XAGUSD,2023-08-30 18:00:00+00:00,3,0.4051453459495189
FOMC_2023_09_20,XAGUSD,2023-08-23 18:00:00+00:00,4,8.648916335769393
FOMC_2023_09_20,SPXUSD,2023-09-13 18:00:00+00:00,1,5.3019160864842965
FOMC_2023_09_20,SPXUSD,2023-09-06 18:00:00+00:00,2,2.0093232214757872
FOMC_2023_09_20,SPXUSD,2023-08-30 18:00:00+00:00,3,3.10350845042721
FOMC_2023_09_20,SPXUSD,2023-08-23 18:00:00+00:00,4,0.6363645802528967
FOMC_2023_09_20,NSXUSD,2023-09-13 18:00:00+00:00,1,11.194292353352548
FOMC_2023_09_20,NSXUSD,2023-09-06 18:00:00+00:00,2,4.144991331000763
FOMC_2023_09_20,NSXUSD,2023-08-30 18:00:00+00:00,3,3.22765639891759
FOMC_2023_09_20,NSXUSD,2023-08-23 18:00:00+00:00,4,3.5211537803913235
FOMC_2023_11_01,EURUSD,2023-10-25 18:00:00+00:00,1,1.3244281327878915
FOMC_2023_11_01,EURUSD,2023-10-18 18:00:00+00:00,2,9.678154695011031
FOMC_2023_11_01,EURUSD,2023-10-11 18:00:00+00:00,3,1.2259351307087496
FOMC_2023_11_01,EURUSD,2023-10-04 18:00:00+00:00,4,3.329512352333004
FOMC_2023_11_01,GBPUSD,2023-10-25 18:00:00+00:00,1,2.2273092958514464
FOMC_2023_11_01,GBPUSD,2023-10-18 18:00:00+00:00,2,11.928512612821278
FOMC_2023_11_01,GBPUSD,2023-10-11 18:00:00+00:00,3,2.603425145891332
FOMC_2023_11_01,GBPUSD,2023-10-04 18:00:00+00:00,4,4.938149775664357
FOMC_2023_11_01,AUDUSD,2023-10-25 18:00:00+00:00,1,11.878460998046313
FOMC_2023_11_01,AUDUSD,2023-10-18 18:00:00+00:00,2,16.723731080156472
FOMC_2023_11_01,AUDUSD,2023-10-11 18:00:00+00:00,3,0.781268311373255
FOMC_2023_11_01,AUDUSD,2023-10-04 18:00:00+00:00,4,5.371333009596013
FOMC_2023_11_01,NZDUSD,2023-10-25 18:00:00+00:00,1,8.087622077810908
FOMC_2023_11_01,NZDUSD,2023-10-18 18:00:00+00:00,2,13.824061184186853
FOMC_2023_11_01,NZDUSD,2023-10-11 18:00:00+00:00,3,0.0
FOMC_2023_11_01,NZDUSD,2023-10-04 18:00:00+00:00,4,5.91630974769663
FOMC_2023_11_01,USDJPY,2023-10-25 18:00:00+00:00,1,1.733564479604439
FOMC_2023_11_01,USDJPY,2023-10-18 18:00:00+00:00,2,3.9386242694494915
FOMC_2023_11_01,USDJPY,2023-10-11 18:00:00+00:00,3,4.424274591698838
FOMC_2023_11_01,USDJPY,2023-10-04 18:00:00+00:00,4,2.753609092220006
FOMC_2023_11_01,USDCHF,2023-10-25 18:00:00+00:00,1,1.0036297952642106
FOMC_2023_11_01,USDCHF,2023-10-18 18:00:00+00:00,2,8.460896691771499
FOMC_2023_11_01,USDCHF,2023-10-11 18:00:00+00:00,3,2.436107555121758
FOMC_2023_11_01,USDCHF,2023-10-04 18:00:00+00:00,4,1.746839317059374
FOMC_2023_11_01,USDCAD,2023-10-25 18:00:00+00:00,1,0.9426061617166577
FOMC_2023_11_01,USDCAD,2023-10-18 18:00:00+00:00,2,8.907971032117365
FOMC_2023_11_01,USDCAD,2023-10-11 18:00:00+00:00,3,0.8818730990335193
FOMC_2023_11_01,USDCAD,2023-10-04 18:00:00+00:00,4,3.712263249373064
FOMC_2023_11_01,EURJPY,2023-10-25 18:00:00+00:00,1,0.441527559275158
FOMC_2023_11_01,EURJPY,2023-10-18 18:00:00+00:00,2,6.144159916105792
