event_id,year,assets,families,eligible,reason
FOMC_2023_02_01,2023,12,3,True,
FOMC_2023_03_22,2023,0,0,False,CFD coverage
FOMC_2023_05_03,2023,0,0,False,CFD coverage
FOMC_2023_06_14,2023,0,0,False,CFD coverage
FOMC_2023_07_26,2023,0,0,False,CFD coverage
FOMC_2023_09_20,2023,12,3,True,
FOMC_2023_11_01,2023,12,3,True,
FOMC_2023_12_13,2023,12,3,True,
FOMC_2024_01_31,2024,12,3,True,
FOMC_2024_03_20,2024,12,3,True,
FOMC_2024_05_01,2024,12,3,True,
FOMC_2024_06_12,2024,12,3,True,
FOMC_2024_07_31,2024,12,3,True,
FOMC_2024_09_18,2024,12,3,True,
FOMC_2024_11_07,2024,10,3,True,
FOMC_2024_12_18,2024,12,3,True,
FOMC_2025_01_29,2025,12,3,True,
FOMC_2025_03_19,2025,12,3,True,
FOMC_2025_05_07,2025,12,3,True,
FOMC_2025_06_18,2025,12,3,True,
FOMC_2025_07_30,2025,12,3,True,
FOMC_2025_09_17,2025,12,3,True,
FOMC_2025_10_29,2025,12,3,True,
FOMC_2025_12_10,2025,12,3,True,
