model,cost_multiplier,net_return,gross_return,round_trips,positive_events
economic,0,0.020093843152366814,0.020093843152366814,66,5
economic,1,0.018015231642184062,0.020093843152366814,66,5
economic,2,0.01594085564997768,0.020093843152366814,66,5
economic,4,0.011804775714780303,0.020093843152366814,66,4
price_only,0,0.0077108891666925325,0.0077108891666925325,142,6
price_only,1,0.0037496594221446003,0.0077108891666925325,142,5
price_only,2,-0.00019599904967245612,0.0077108891666925325,142,5
price_only,4,-0.008040846772143619,0.0077108891666925325,142,3
long,0,7.818652612655126e-05,7.818652612655126e-05,142,7
long,1,-0.0038530396836217343,7.818652612655126e-05,142,6
long,2,-0.007768812562100095,7.818652612655126e-05,142,5
long,4,-0.015554241069625926,7.818652612655126e-05,142,2
