Date,date_time,year,regime,scheduled,rate_contracts,rate_surprise,sp_future,product,valid,classification
1994-02-04,1994-02-04 11:05:00,1994,1994-2007,True,10,0.08900100000000001,,,False,unclassified
1994-03-22,1994-03-22 14:20:00,1994,1994-2007,True,10,-0.025,,,False,unclassified
1994-04-18,1994-04-18 10:06:00,1994,1994-2007,False,10,0.071001,,,False,unclassified
1994-05-17,1994-05-17 14:26:00,1994,1994-2007,True,10,-0.016,,,False,unclassified
1994-07-06,1994-07-06 14:18:00,1994,1994-2007,True,10,-0.008,,,False,unclassified
1994-08-16,1994-08-16 13:18:00,1994,1994-2007,True,10,0.028000000000000004,,,False,unclassified
1994-09-27,1994-09-27 14:18:00,1994,1994-2007,True,10,-0.026000000000000002,,,False,unclassified
1994-11-15,1994-11-15 14:20:00,1994,1994-2007,True,10,0.05550000000000001,,,False,unclassified
1994-12-20,1994-12-20 14:17:00,1994,1994-2007,True,10,-0.044,,,False,unclassified
1995-02-01,1995-02-01 14:15:00,1995,1994-2007,True,10,0.0445,,,False,unclassified
1995-03-28,1995-03-28 14:15:00,1995,1994-2007,True,10,0.015,,,False,unclassified
1995-05-23,1995-05-23 14:15:00,1995,1994-2007,True,10,-0.0035000000000000005,,,False,unclassified
1995-07-06,1995-07-06 14:15:00,1995,1994-2007,True,10,-0.144,,,False,unclassified
1995-08-22,1995-08-22 14:15:00,1995,1994-2007,True,10,0.027500000000000004,,,False,unclassified
1995-09-26,1995-09-26 14:15:00,1995,1994-2007,True,10,0.0375,,,False,unclassified
1995-11-15,1995-11-15 14:15:00,1995,1994-2007,True,10,0.025,,,False,unclassified
1995-12-19,1995-12-19 14:15:00,1995,1994-2007,True,10,-0.05850000000000001,,,False,unclassified
1996-01-31,1996-01-31 14:15:00,1996,1994-2007,True,10,-0.02275000000000223,,,False,unclassified
1996-03-26,1996-03-26 11:39:00,1996,1994-2007,True,10,0.013500000000000493,,,False,unclassified
1996-05-21,1996-05-21 14:15:00,1996,1994-2007,True,10,0.01224999999999998,,,False,unclassified
