excluded_year,conventional,information,conventional_majority
1994,148,81,True
1995,148,81,True
1996,148,81,True
1997,147,79,True
1998,142,79,True
1999,144,77,True
2000,141,80,True
2001,143,78,True
2002,145,76,True
2003,144,78,True
2004,142,79,True
2005,143,78,True
2006,142,79,True
2007,141,80,True
2008,141,80,True
2009,145,77,True
2010,143,79,True
2011,144,77,True
2012,143,78,True
2013,143,78,True
2014,143,78,True
2015,142,79,True
2016,145,76,True
2017,141,80,True
2018,142,79,True
2019,141,80,True
2020,145,77,True
2021,143,78,True
2022,142,79,True
2023,143,78,True
2024,144,77,True
2025,144,77,True
2026,144,79,True
