group,rows,valid,coverage,classified,conventional,information,conventional_share,median_product
1994,8,0,0.0,0,0,0,,
1995,8,0,0.0,0,0,0,,
1996,8,0,0.0,0,0,0,,
1997,8,3,0.375,3,1,2,0.3333333333333333,3.0305976922076036e-05
1998,8,8,1.0,8,6,2,0.75,-2.9321061496720655e-05
1999,8,8,1.0,8,4,4,0.5,-0.00011871170228161452
2000,8,8,1.0,8,7,1,0.875,-4.5087764910093595e-05
2001,8,8,1.0,8,5,3,0.625,-7.80979497325241e-05
2002,8,8,1.0,8,3,5,0.375,5.068523489741702e-05
2003,8,8,1.0,7,4,3,0.5714285714285714,-5.607814761210558e-06
2004,8,8,1.0,8,6,2,0.75,-1.3271210736072944e-05
2005,8,8,1.0,8,5,3,0.625,-3.5742612458711585e-05
2006,8,8,1.0,8,6,2,0.75,-4.069943125871114e-05
2007,8,8,1.0,8,7,1,0.875,-8.855756568923203e-05
2008,8,8,1.0,8,7,1,0.875,-7.107408069255941e-05
2009,8,8,1.0,7,3,4,0.42857142857142855,1.4593623709031385e-06
2010,8,8,1.0,7,5,2,0.7142857142857143,-1.642451042324877e-05
2011,8,8,1.0,8,4,4,0.5,-3.5397802283090843e-06
2012,8,8,1.0,8,5,3,0.625,-2.795250917517839e-06
2013,8,8,1.0,8,5,3,0.625,-1.0658072508007945e-06
2014,8,8,1.0,8,5,3,0.625,-8.618011529753912e-06
2015,8,8,1.0,8,6,2,0.75,-4.0836870281365094e-05
2016,8,8,1.0,8,3,5,0.375,7.381223768356779e-07
2017,8,8,1.0,8,7,1,0.875,-4.6955633518951556e-06
2018,8,8,1.0,8,6,2,0.75,-6.201390090469157e-06
2019,8,8,1.0,8,7,1,0.875,-6.939692167502348e-05
2020,7,7,1.0,7,3,4,0.42857142857142855,5.338458253251538e-08
2021,8,8,1.0,8,5,3,0.625,-3.1226913297213137e-06
2022,8,8,1.0,8,6,2,0.75,-0.00023772914866295098
2023,8,8,1.0,8,5,3,0.625,-2.4894849194614414e-05
2024,8,8,1.0,8,4,4,0.5,-2.013796216030691e-05
2025,8,8,1.0,8,4,4,0.5,-1.3591779345580417e-06
2026,6,6,1.0,6,4,2,0.6666666666666666,-7.586017626219495e-06
