ticker,asset,valid,reason,exchange,timezone
"EURUSD=X","EURUSD",True,"","CCY","Europe/London"
"GBPUSD=X","GBPUSD",True,"","CCY","Europe/London"
"AUDUSD=X","AUDUSD",True,"","CCY","Europe/London"
"NZDUSD=X","NZDUSD",True,"","CCY","Europe/London"
"JPY=X","USDJPY",True,"","CCY","Europe/London"
"CHF=X","USDCHF",True,"","CCY","Europe/London"
"CAD=X","USDCAD",True,"","CCY","Europe/London"
"EURJPY=X","EURJPY",True,"","CCY","Europe/London"
"GC=F","XAUUSD",True,"","CMX","America/New_York"
"SI=F","XAGUSD",True,"","CMX","America/New_York"
"ES=F","SPXUSD",True,"","CME","America/New_York"
"NQ=F","NSXUSD",True,"","CME","America/New_York"
"YM=F","DJIUSD",True,"","CBT","America/New_York"
"RTY=F","RTYUSD",True,"","CME","America/New_York"
"CL=F","WTIUSD",True,"","NYM","America/New_York"
