event_id,assets,families,eligible
bls_employment_2023-01-06,0,0,False
bls_cpi_2023-01-12,0,0,False
bls_employment_2023-02-03,0,0,False
bls_cpi_2023-02-14,15,4,True
bls_employment_2023-03-10,4,1,False
bls_cpi_2023-03-14,9,3,False
bls_employment_2023-04-07,0,0,False
bls_cpi_2023-04-12,8,4,False
bls_employment_2023-05-05,6,3,False
bls_cpi_2023-05-10,7,3,False
bls_employment_2023-06-02,4,3,False
bls_cpi_2023-06-13,7,3,False
bls_employment_2023-07-07,10,4,False
bls_cpi_2023-07-12,11,4,False
bls_employment_2023-08-04,14,4,True
bls_cpi_2023-08-10,15,4,True
bls_employment_2023-09-01,15,4,True
bls_cpi_2023-09-13,15,4,True
bls_employment_2023-10-06,15,4,True
bls_cpi_2023-10-12,15,4,True
bls_employment_2023-11-03,15,4,True
bls_cpi_2023-11-14,15,4,True
bls_employment_2023-12-08,15,4,True
bls_cpi_2023-12-12,15,4,True
bls_employment_2024-01-05,15,4,True
bls_cpi_2024-01-11,15,4,True
bls_employment_2024-02-02,15,4,True
bls_cpi_2024-02-13,15,4,True
bls_employment_2024-03-08,15,4,True
bls_cpi_2024-03-12,15,4,True
bls_employment_2024-04-05,15,4,True
bls_cpi_2024-04-10,15,4,True
bls_employment_2024-05-03,15,4,True
bls_cpi_2024-05-15,15,4,True
bls_employment_2024-06-07,15,4,True
bls_cpi_2024-06-12,15,4,True
bls_employment_2024-07-05,15,4,True
bls_cpi_2024-07-11,15,4,True
bls_employment_2024-08-02,15,4,True
bls_cpi_2024-08-14,15,4,True
bls_employment_2024-09-06,15,4,True
bls_cpi_2024-09-11,15,4,True
bls_employment_2024-10-04,15,4,True
bls_cpi_2024-10-10,15,4,True
bls_employment_2024-11-01,15,4,True
bls_cpi_2024-11-13,15,4,True
bls_employment_2024-12-06,15,4,True
bls_cpi_2024-12-11,15,4,True
bls_employment_2025-01-10,15,4,True
bls_cpi_2025-01-15,15,4,True
bls_employment_2025-02-07,15,4,True
bls_cpi_2025-02-12,15,4,True
bls_employment_2025-03-07,15,4,True
bls_cpi_2025-03-12,15,4,True
bls_employment_2025-04-04,15,4,True
bls_cpi_2025-04-10,15,4,True
bls_employment_2025-05-02,15,4,True
bls_cpi_2025-05-13,15,4,True
bls_employment_2025-06-06,15,4,True
bls_cpi_2025-06-11,15,4,True
bls_employment_2025-07-03,15,4,True
bls_cpi_2025-07-15,15,4,True
bls_employment_2025-08-01,15,4,True
bls_cpi_2025-08-12,15,4,True
bls_employment_2025-09-05,15,4,True
bls_cpi_2025-09-11,15,4,True
bls_cpi_2025-10-24,15,4,True
bls_employment_2025-11-20,15,4,True
bls_employment_2025-12-16,15,4,True
bls_cpi_2025-12-18,15,4,True
