event_id,category,release_timestamp_utc,year,assets,event_jump_bps,control_mean_bps,excess_bps,vix,cpi,cpi_vix
bls_cpi_2023-02-14,cpi,2023-02-14 13:30:00+00:00,2023,15,26.77788725935298,22.35940033426735,4.418486925085629,20.34,1.0,20.34
bls_employment_2023-08-04,employment,2023-08-04 13:30:00+00:00,2023,14,28.175512619426076,18.54356638016932,9.631946239256752,15.92,0.0,0.0
bls_cpi_2023-08-10,cpi,2023-08-10 13:30:00+00:00,2023,15,16.811825412198292,23.57040824215794,-6.758582829959647,15.96,1.0,15.96
bls_employment_2023-09-01,employment,2023-09-01 13:30:00+00:00,2023,15,38.01371286170455,14.374734415546701,23.63897844615785,13.57,0.0,0.0
bls_cpi_2023-09-13,cpi,2023-09-13 13:30:00+00:00,2023,15,13.873462159653212,13.76526319632319,0.10819896333001866,14.23,1.0,14.23
bls_employment_2023-10-06,employment,2023-10-06 13:30:00+00:00,2023,15,44.309381200691,17.43379016638189,26.875591034309103,18.49,0.0,0.0
bls_cpi_2023-10-12,cpi,2023-10-12 13:30:00+00:00,2023,15,26.455589587437508,18.76147903149407,7.694110555943436,16.09,1.0,16.09
bls_employment_2023-11-03,employment,2023-11-03 13:30:00+00:00,2023,15,43.963286407398456,24.463182938350208,19.500103469048252,15.66,0.0,0.0
bls_cpi_2023-11-14,cpi,2023-11-14 13:30:00+00:00,2023,15,88.44508077016299,19.80500455905305,68.64007621110994,14.76,1.0,14.76
bls_employment_2023-12-08,employment,2023-12-08 13:30:00+00:00,2023,15,29.37144894942102,17.47536627345056,11.896082675970458,13.06,0.0,0.0
bls_cpi_2023-12-12,cpi,2023-12-12 13:30:00+00:00,2023,15,46.370844103805034,23.851054030109065,22.51979007369597,12.63,1.0,12.63
bls_employment_2024-01-05,employment,2024-01-05 13:30:00+00:00,2024,15,15.78051900919245,20.865118841548565,-5.084599832356113,14.13,0.0,0.0
bls_cpi_2024-01-11,cpi,2024-01-11 13:30:00+00:00,2024,15,52.4899054538143,25.095930875292858,27.393974578521437,12.69,1.0,12.69
bls_employment_2024-02-02,employment,2024-02-02 13:30:00+00:00,2024,15,76.67518601285681,19.055308232425055,57.619877780431764,13.88,0.0,0.0
bls_cpi_2024-02-13,cpi,2024-02-13 13:30:00+00:00,2024,15,89.17916947058936,15.428942101098478,73.75022736949086,13.93,1.0,13.93
bls_employment_2024-03-08,employment,2024-03-08 13:30:00+00:00,2024,15,16.449516830932247,16.973418342646745,-0.5239015117144996,14.44,0.0,0.0
bls_cpi_2024-03-12,cpi,2024-03-12 13:30:00+00:00,2024,15,16.497039695192505,14.154982445456657,2.342057249735847,15.22,1.0,15.22
bls_employment_2024-04-05,employment,2024-04-05 13:30:00+00:00,2024,15,20.720366637142313,14.093625630932927,6.626741006209385,16.35,0.0,0.0
bls_cpi_2024-04-10,cpi,2024-04-10 13:30:00+00:00,2024,15,69.73848405766745,15.99307544109535,53.7454086165721,14.98,1.0,14.98
bls_employment_2024-05-03,employment,2024-05-03 13:30:00+00:00,2024,15,47.82461280253311,19.43231306284589,28.392299739687225,14.68,0.0,0.0
bls_cpi_2024-05-15,cpi,2024-05-15 13:30:00+00:00,2024,15,32.00816055379522,17.504185360874825,14.503975192920391,13.42,1.0,13.42
bls_employment_2024-06-07,employment,2024-06-07 13:30:00+00:00,2024,15,62.28629183675121,30.317456091753407,31.968835744997797,12.58,0.0,0.0
bls_cpi_2024-06-12,cpi,2024-06-12 13:30:00+00:00,2024,15,83.594872772321,13.832574596228211,69.76229817609278,12.85,1.0,12.85
bls_employment_2024-07-05,employment,2024-07-05 13:30:00+00:00,2024,15,12.13895392772006,24.49252266481784,-12.353568737097781,12.26,0.0,0.0
bls_cpi_2024-07-11,cpi,2024-07-11 13:30:00+00:00,2024,15,73.38569494868412,18.241896139844496,55.14379880883962,12.85,1.0,12.85
bls_employment_2024-08-02,employment,2024-08-02 13:30:00+00:00,2024,15,58.18163829019468,15.982181380683173,42.199456909511504,18.59,0.0,0.0
bls_cpi_2024-08-14,cpi,2024-08-14 13:30:00+00:00,2024,15,12.942890745861812,11.476884516920496,1.466006228941317,18.12,1.0,18.12
bls_employment_2024-09-06,employment,2024-09-06 13:30:00+00:00,2024,15,34.78604754193842,22.940993175138345,11.84505436680008,19.9,0.0,0.0
bls_cpi_2024-09-11,cpi,2024-09-11 13:30:00+00:00,2024,15,31.730441195092293,10.131734463764435,21.59870673132786,19.08,1.0,19.08
bls_employment_2024-10-04,employment,2024-10-04 13:30:00+00:00,2024,15,62.2833358583408,21.013838383282454,41.269497475058344,20.49,0.0,0.0
bls_cpi_2024-10-10,cpi,2024-10-10 13:30:00+00:00,2024,15,23.952724646034774,25.910873923813597,-1.958149277778824,20.86,1.0,20.86
bls_employment_2024-11-01,employment,2024-11-01 13:30:00+00:00,2024,15,11.742763155664484,21.38746624593877,-9.64470309027429,23.16,0.0,0.0
bls_cpi_2024-11-13,cpi,2024-11-13 13:30:00+00:00,2024,15,32.06956862790213,22.796453103303833,9.273115524598298,14.71,1.0,14.71
bls_employment_2024-12-06,employment,2024-12-06 13:30:00+00:00,2024,15,24.579026629168162,17.703203287712196,6.875823341455968,13.54,0.0,0.0
bls_cpi_2024-12-11,cpi,2024-12-11 13:30:00+00:00,2024,15,23.53255423993528,19.688479791487886,3.8440744484473983,14.18,1.0,14.18
bls_employment_2025-01-10,employment,2025-01-10 13:30:00+00:00,2025,15,32.1682884258338,18.338352991751407,13.829935434082394,18.07,0.0,0.0
bls_cpi_2025-01-15,cpi,2025-01-15 13:30:00+00:00,2025,15,62.9977610170874,11.01148017078399,51.986280846303416,18.71,1.0,18.71
bls_employment_2025-02-07,employment,2025-02-07 13:30:00+00:00,2025,15,11.497111495752572,11.522582668107464,-0.025471172354891713,15.5,0.0,0.0
bls_cpi_2025-02-12,cpi,2025-02-12 13:30:00+00:00,2025,15,43.719893073564144,13.233849789078622,30.486043284485525,16.02,1.0,16.02
bls_employment_2025-03-07,employment,2025-03-07 13:30:00+00:00,2025,15,12.603809600997389,14.367753387385335,-1.7639437863879444,24.87,0.0,0.0
bls_cpi_2025-03-12,cpi,2025-03-12 13:30:00+00:00,2025,15,17.224876938731235,17.35935404645137,-0.13447710772013188,26.92,1.0,26.92
bls_employment_2025-04-04,employment,2025-04-04 13:30:00+00:00,2025,15,43.02808279474446,21.391218592393074,21.636864202351397,30.02,0.0,0.0
bls_cpi_2025-04-10,cpi,2025-04-10 13:30:00+00:00,2025,15,29.58768564519194,21.85335914474001,7.734326500451933,33.62,1.0,33.62
bls_employment_2025-05-02,employment,2025-05-02 13:30:00+00:00,2025,15,40.30132477127757,20.366314463226363,19.935010308051208,24.6,0.0,0.0
bls_cpi_2025-05-13,cpi,2025-05-13 13:30:00+00:00,2025,15,14.226656378313836,15.598087707128409,-1.3714313288145714,18.39,1.0,18.39
bls_employment_2025-06-06,employment,2025-06-06 13:30:00+00:00,2025,15,23.01458247624212,14.554026032106208,8.46055644413591,18.48,0.0,0.0
bls_cpi_2025-06-11,cpi,2025-06-11 13:30:00+00:00,2025,15,25.984176387428732,20.4720446982735,5.5121316891552326,16.95,1.0,16.95
bls_employment_2025-07-03,employment,2025-07-03 13:30:00+00:00,2025,15,34.586338262965135,21.507500617866572,13.078837645098567,16.64,0.0,0.0
bls_cpi_2025-07-15,cpi,2025-07-15 13:30:00+00:00,2025,15,9.730348324622927,18.927078696784108,-9.19673037216118,17.2,1.0,17.2
bls_employment_2025-08-01,employment,2025-08-01 13:30:00+00:00,2025,15,66.76460731593403,14.431810454692215,52.33279686124182,16.72,0.0,0.0
bls_cpi_2025-08-12,cpi,2025-08-12 13:30:00+00:00,2025,15,27.29781592940871,10.838428884282882,16.45938704512583,16.25,1.0,16.25
bls_employment_2025-09-05,employment,2025-09-05 13:30:00+00:00,2025,15,61.305302716866834,12.996930427463958,48.30837228940288,15.3,0.0,0.0
bls_cpi_2025-09-11,cpi,2025-09-11 13:30:00+00:00,2025,15,21.090819713874986,18.640985072776484,2.4498346410984984,15.35,1.0,15.35
bls_cpi_2025-10-24,cpi,2025-10-24 13:30:00+00:00,2025,15,28.003364121326733,19.719800405306785,8.283563716019948,17.3,1.0,17.3
bls_employment_2025-11-20,employment,2025-11-20 13:30:00+00:00,2025,15,17.890283382110933,20.441565812729834,-2.551282430618899,23.66,0.0,0.0
bls_employment_2025-12-16,employment,2025-12-16 13:30:00+00:00,2025,15,28.142748149016953,16.609360816549515,11.533387332467441,16.5,0.0,0.0
bls_cpi_2025-12-18,cpi,2025-12-18 13:30:00+00:00,2025,15,29.395524100995416,16.39953927040807,12.995984830587345,17.62,1.0,17.62
