event_id,category,release_name,official_release_timestamp_utc,release_timestamp_utc,panel_clock_offset_minutes,source_url
bls_employment_2023-01-06,employment,Employment Situation for December 2022,2023-01-06 13:30:00+00:00,2023-01-06 13:30:00+00:00,0,https://www.bls.gov/schedule/2023/home.htm
bls_cpi_2023-01-12,cpi,Consumer Price Index for December 2022,2023-01-12 13:30:00+00:00,2023-01-12 13:30:00+00:00,0,https://www.bls.gov/schedule/2023/home.htm
bls_employment_2023-02-03,employment,Employment Situation for January 2023,2023-02-03 13:30:00+00:00,2023-02-03 13:30:00+00:00,0,https://www.bls.gov/schedule/2023/home.htm
bls_cpi_2023-02-14,cpi,Consumer Price Index for January 2023,2023-02-14 13:30:00+00:00,2023-02-14 13:30:00+00:00,0,https://www.bls.gov/schedule/2023/home.htm
bls_employment_2023-03-10,employment,Employment Situation for February 2023,2023-03-10 13:30:00+00:00,2023-03-10 13:30:00+00:00,0,https://www.bls.gov/schedule/2023/home.htm
bls_cpi_2023-03-14,cpi,Consumer Price Index for February 2023,2023-03-14 12:30:00+00:00,2023-03-14 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
bls_employment_2023-04-07,employment,Employment Situation for March 2023,2023-04-07 12:30:00+00:00,2023-04-07 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
bls_cpi_2023-04-12,cpi,Consumer Price Index for March 2023,2023-04-12 12:30:00+00:00,2023-04-12 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
bls_employment_2023-05-05,employment,Employment Situation for April 2023,2023-05-05 12:30:00+00:00,2023-05-05 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
bls_cpi_2023-05-10,cpi,Consumer Price Index for April 2023,2023-05-10 12:30:00+00:00,2023-05-10 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
bls_employment_2023-06-02,employment,Employment Situation for May 2023,2023-06-02 12:30:00+00:00,2023-06-02 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
bls_cpi_2023-06-13,cpi,Consumer Price Index for May 2023,2023-06-13 12:30:00+00:00,2023-06-13 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
bls_employment_2023-07-07,employment,Employment Situation for June 2023,2023-07-07 12:30:00+00:00,2023-07-07 13:30:00+00:00,60,https://www.bls.gov/schedule/2023/home.htm
