Country Name,Country Code,currency,year,current_account_pct_gdp
Australia,AUS,AUD,2018,-2.58947975974169
Australia,AUS,AUD,2019,-0.0757460083721145
Australia,AUS,AUD,2020,1.64272242623869
Australia,AUS,AUD,2021,2.44729769999574
Australia,AUS,AUD,2022,0.254202501603949
Australia,AUS,AUD,2023,-0.433071259302467
Australia,AUS,AUD,2024,-2.3075014713626
Australia,AUS,AUD,2025,-2.68119524894682
Euro area,EMU,EUR,2018,
Euro area,EMU,EUR,2019,
Euro area,EMU,EUR,2020,
Euro area,EMU,EUR,2021,
Euro area,EMU,EUR,2022,
Euro area,EMU,EUR,2023,
Euro area,EMU,EUR,2024,
Euro area,EMU,EUR,2025,
United Kingdom,GBR,GBP,2018,-3.88728858372976
United Kingdom,GBR,GBP,2019,-2.66245642145608
United Kingdom,GBR,GBP,2020,-2.92883387550299
United Kingdom,GBR,GBP,2021,-0.752836357784013
United Kingdom,GBR,GBP,2022,-2.06737101121871
United Kingdom,GBR,GBP,2023,-3.57676183842871
United Kingdom,GBR,GBP,2024,-2.95960422411904
United Kingdom,GBR,GBP,2025,-2.42693271936225
Japan,JPN,JPY,2018,3.43924007536728
Japan,JPN,JPY,2019,3.36672218972423
Japan,JPN,JPY,2020,2.8911777788158
Japan,JPN,JPY,2021,3.76057343034324
Japan,JPN,JPY,2022,2.0281112293848
Japan,JPN,JPY,2023,3.61127531871255
Japan,JPN,JPY,2024,4.62202410018024
Japan,JPN,JPY,2025,4.86496093471918
United States,USA,USD,2018,-2.12518413076048
United States,USA,USD,2019,-2.05182158462342
United States,USA,USD,2020,-2.77659039897534
United States,USA,USD,2021,-3.61901225446136
United States,USA,USD,2022,-3.81177015326345
United States,USA,USD,2023,-3.33680827263036
United States,USA,USD,2024,-4.04564637199117
United States,USA,USD,2025,-3.62698693844919
